x,y,ymin,ymax,iv
"Mesh Screen <= 1/8""",0,0,0,build_VENTSCREEN
"Mesh Screen > 1/8""",-0.02727982871478442,-0.03126892223323785,-0.023290735196330993,build_VENTSCREEN
No Vents,-0.06837822949811234,-0.07439962709724487,-0.06235683189897981,build_VENTSCREEN
Unscreened,-0.14537131218329533,-0.15136024450126007,-0.13938237986533059,build_VENTSCREEN
