x_chr,y,ymin,ymax,iv
Multi Pane,0,0,0,build_WINDOWPANE
No Windows,0.3109141554298549,0.30277511011825026,0.31905320074145954,build_WINDOWPANE
Single Pane,0.3419297380406086,0.33198578480345586,0.35187369127776136,build_WINDOWPANE
