x,y,ymin,ymax,iv
0,0,0,0,build_p_otherpaved_200
0.21209751259963994,3.49909460766277e-4,2.79477317640734e-4,4.2034160389182e-4,build_p_otherpaved_200
0.8506808764573858,0.0031063715315737036,0.002839454333486329,0.003373288729661078,build_p_otherpaved_200
1.5329020666200912,0.007217498591024241,0.006735833824515602,0.00769916335753288,build_p_otherpaved_200
2.072207403978509,0.009777003362614767,0.00915445974576275,0.010399546979466785,build_p_otherpaved_200
2.567437513951341,0.007590952574379613,0.006798620100940559,0.008383285047818668,build_p_otherpaved_200
3.138976863183303,0.005421490773653479,0.004506777303017678,0.0063362042442892804,build_p_otherpaved_200
3.6167924345445974,-0.002253182370764396,-0.0036835572215470434,-8.228075199817489e-4,build_p_otherpaved_200
4.203806172043495,-0.005202563783075423,-0.006754616720147455,-0.0036505108460033915,build_p_otherpaved_200
4.8438041575117,-0.0077385982248245316,-0.009373843488324618,-0.006103352961324446,build_p_otherpaved_200
5.491936024838768,-0.01654253553883241,-0.01856761119506775,-0.014517459882597068,build_p_otherpaved_200
6.229449531090367,-0.016197251372864273,-0.01826040862794899,-0.014134094117779557,build_p_otherpaved_200
6.791735423960017,-0.019848534767674494,-0.022003821608623835,-0.017693247926725154,build_p_otherpaved_200
7.514931103912293,-0.026248688953102266,-0.028684887416086102,-0.02381249049011843,build_p_otherpaved_200
8.235800672761503,-0.03459391908396267,-0.03730307001244501,-0.03188476815548033,build_p_otherpaved_200
8.772416050185392,-0.05660874533797259,-0.059907877303410406,-0.05330961337253477,build_p_otherpaved_200
9.528913318388968,-0.0684566183637944,-0.07199145084525557,-0.06492178588233322,build_p_otherpaved_200
10.71144430161131,-0.10043558614092128,-0.10479113774699868,-0.09608003453484389,build_p_otherpaved_200
12.338654067334378,-0.1292395301854606,-0.1346668820534347,-0.12381217831748653,build_p_otherpaved_200
15.007758400513914,-0.267328527948187,-0.2768713390313668,-0.25778571686500723,build_p_otherpaved_200
39.92537456670032,-0.2822198103272443,-0.2920125076101745,-0.2724271130443141,build_p_otherpaved_200
