x,y,ymin,ymax,iv
0.522593082,0,0,0,build_near_dest
4.395180939,-1.3327437352148106e-4,-1.8680278260458077e-4,-7.974596443838135e-5,build_near_dest
7.834802623,-0.00188832684878482,-0.0022135949109877992,-0.001563058786581841,build_near_dest
11.10374096,-0.0038193540063041946,-0.004359077080751554,-0.0032796309318568356,build_near_dest
15.517357518000004,-0.006996927512917619,-0.007903012895043936,-0.006090842130791301,build_near_dest
21.61142381,-0.011320740450895511,-0.012614126746468361,-0.010027354155322661,build_near_dest
31.13241129,-0.016326866613316775,-0.017925908533364936,-0.014727824693268615,build_near_dest
39.264548198,-0.019048159213035293,-0.020829136488110706,-0.01726718193795988,build_near_dest
49.3128393,-0.020115369778071157,-0.021941643929488296,-0.01828909562665402,build_near_dest
58.73498742,-0.023353844160139556,-0.02538801268430676,-0.021319675635972354,build_near_dest
70.40602599,-0.026312054526909597,-0.028539585281138858,-0.024084523772680336,build_near_dest
82.534400074,-0.028167216598058733,-0.030406664887314357,-0.02592776830880311,build_near_dest
100.8074467,-0.031423618052677176,-0.03389896032392759,-0.028948275781426756,build_near_dest
119.72916460000002,-0.035656401288286864,-0.0382858168378254,-0.03302698573874833,build_near_dest
147.8776335599999,-0.04430822248167664,-0.04709414955120362,-0.041522295412149655,build_near_dest
188.3662345,-0.12201911527204623,-0.12729460302408968,-0.1167436275200028,build_near_dest
245.74650974000002,-0.15165193721280482,-0.15799398969618908,-0.14530988472942055,build_near_dest
346.6499167399995,-0.1740641221025992,-0.18090050616989223,-0.16722773803530616,build_near_dest
506.080824220001,-0.2251900493094688,-0.232983656323815,-0.21739644229512256,build_near_dest
940.6788757,-0.2733869179979783,-0.28173160938307823,-0.2650422266128784,build_near_dest
10646.34915,-0.3069167199679308,-0.3155245358007468,-0.2983089041351148,build_near_dest
