x_chr,y,ymin,ymax,iv
"Mesh Screen <= 1/8""",0,0,0,build_VENTSCREEN
"Mesh Screen > 1/8""",0.005049936853471167,0.0028269730951062237,0.00727290061183611,build_VENTSCREEN
No Vents,-0.013938135660033496,-0.0177796786868927,-0.010096592633174292,build_VENTSCREEN
Unscreened,-0.11045344116891552,-0.11474064757142836,-0.10616623476640268,build_VENTSCREEN
