x_chr,y,ymin,ymax,iv
Enclosed,0,0,0,build_EAVES
No Eaves,0.17492292894089176,0.16683800284664896,0.18300785503513456,build_EAVES
Unenclosed,0.17344071735809058,0.16799520270545099,0.17888623201073017,build_EAVES
