x_chr,y,ymin,ymax,iv
Enclosed,0,0,0,build_EAVES
No Eaves,0.13956631005264752,0.13139827168700094,0.1477343484182941,build_EAVES
Unenclosed,0.16127487184855838,0.15624720150891164,0.16630254218820512,build_EAVES
