x_chr,y,ymin,ymax,iv
Multi Pane,0,0,0,build_WINDOWPANE
No Windows,0.30269708696471487,0.29440879371178713,0.3109853802176426,build_WINDOWPANE
Single Pane,0.3195629172698135,0.30970587717930564,0.32941995736032137,build_WINDOWPANE
