inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
9966;1084;Level 2;Building Centroid;0.258621931024552;0.300892267019167;0.313074982491883;0;0.000575995392036864;0.0099051463889534;0.0133558931528548;0.0157732087672603;0.0108590119055198;0.0227272727272727;0.106973144214846;0.0351771136635644;0.0366117071063431;0.0167780139690252;0.0074747723944738;0.0417056663546692;0.108644004215716;0.134203698987712;0.295683634530924;0.161032314535289;0.127864964665436;0;0;0;2097;9371;0;0.977272727272727;0;0.00560259756796333;0.0162546953587572;0;0;0
10250;1788;Level 2;Building Centroid;0.951238390092879;0.872135188724746;0.8075678837461;1;0.0152098783209734;0.00377360175773923;0;0;0;0;0;0;0;0;0;0.0335517315861473;0.113462603383291;0.170346024065703;0;0.0106286061342241;0.0204049150060483;0;0;0;2097;9277;0;0;0;0.00168117718214809;0;0;0;0
11755;1683;Level 2;Building Centroid;0.848405212758298;0.881200764545114;0.861681893423314;1;0.0241378068975448;0.00598863900251871;0;0;0;0;0;0;0;0;0;0.127456980344157;0.111792393847913;0.117527217164322;0;0.00101820260445508;0.0181228910676768;0;0;0;1962;9295;0;0;0;0.00266799834468708;0;0;0;0
8242;1108;Level 2;Building Centroid;0.192094463244294;0.299181865275719;0.313423155281085;0.727272727272727;0.0119879040967672;0.00297422339722406;0.0151018791849665;0.00417998963934192;0.00189207041446489;0.053030303030303;0.249388004895961;0.0844215001518372;0;0;0;0.050921592627259;0.0892624283238956;0.110336951677596;0.00959392324861401;0.0104767689037352;0.0202298338320494;0;0;0;7870;9369;0.0208333333333333;0;0;0.00132504615776405;0.0376106194690266;0;0;0
9705;1087;Level 2;Building Centroid;0.423968608251134;0.368084707311409;0.346716432164003;0.799242424242424;0.0238318093455252;0.00591272038727425;0.0367737058103535;0.00936031867955199;0.00564636786146304;0;0;0.0072390632536039;0;0.00100927100266162;0.00433723817406252;0.0287997696018432;0.0761776316964684;0.101013879162157;0.0273777809777522;0.0588592558189386;0.0572137422805119;0;0;0;2097;9372;0;0;0.0852272727272727;0.00269784172661871;0.011823947921309;0;0;0
8163;1045;Level 2;Building Centroid;0.123713010295918;0.222731819724549;0.247091265041064;0.270833333333333;0.0119879040967672;0.00297422339722406;0.00853193174454604;0.00424697665279291;0.00189207041446489;0.113636363636364;0.254085967312262;0.0844215001518372;0;0;0;0.0470696234430125;0.101409406763009;0.113995750302413;0.00795593635250918;0.0245261785248566;0.0342164321640033;0;0;0;7870;9380;0.248106060606061;0;0;0.00132504615776405;0.0376106194690266;0;0;0
10187;1003;Level 2;Building Centroid;0.276045791633667;0.242644825923081;0.297287833450054;1;0.0249298005615955;0.0081634840392276;0.0514435884512924;0.0192743966702989;0.0173310466670911;0;0.0363957088343293;0.0468417856058305;0.0424256605947152;0.0157732087672603;0.0074747723944738;0.0857333141334869;0.162523892034798;0.159890892595658;0.268449852401181;0.202912595344849;0.178278394983129;0;0;0;2097;9387;0;0;0;0.0112489654294264;0.0333828070287133;0;0;0
10282;831;Level 2;Building Centroid;0.185128518971848;0.245592254514925;0.305456961864137;0.600378787878788;0.0124739002087983;0.0361685214626391;0.0475376196990424;0.0368473231989425;0.019615060164258;0.00946969696969697;0.0552595579235366;0.0723325771243815;0;0.00664511173433844;0.00701916343031769;0.00770393836849305;0.0808711884389346;0.107730629655568;0.321819425444596;0.207570425680141;0.171891911249761;0;0;0;2097;9402;0;0;0.185606060606061;0.018492949003629;0.0743577704208315;0;0;0
10428;781;Level 2;Building Centroid;0.348351213190294;0.407615976849288;0.449132950276947;1;0.0820973432212542;0.0316803915614226;0.0171178630570955;0.0309524660152552;0.0185128445915834;0;0.22937216502268;0.0830326360729533;0;0;0.00295051569363978;0.0181078551371589;0.100221503724478;0.112284729738333;0.304953560371517;0.250518032904021;0.156279843381932;0;0;0;2097;9409;0;0;0;0.0184292831221748;0.0907915260711784;0;0;0
10204;619;Level 2;Building Centroid;0.203776369789042;0.253175184437577;0.231099191443306;1;0.0172618619051048;0.024168914453118;0.0623335013319893;0.024820921384041;0.0171599446106831;0;0.102725178198574;0.0594085493292367;0.000377996976024192;9.37818188313892e-05;0.00276548672566372;0.011015911872705;0.0126516139404441;0.0182880244476985;0.16360069119447;0.13232614637109;0.136764261157446;0;0;0;2097;9425;0;0;0;0.0182382854778124;0.0991397147768511;0;0;0
