inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
3308;3882;Level 2;Building Centroid;0.217942256461948;0.243037816401994;0.230412793658878;0;0.0272157822737418;0.00675229095586002;0.0576895384836921;0.0290455690323503;0.0204029254472528;0;0.103553171574627;0.124448473589253;0.0319497444020448;0.0735963987781569;0.0568794964028777;0.00811793505651955;0.019689716153695;0.0310729292672057;0.553513571891425;0.361586967006663;0.310709397084103;0;0;0;7064;5819;0;1;0;0.00712659960527154;0.10900394728465;0;0;0
5231;2626;Level 2;Building Centroid;0.342861257109943;0.387251924760186;0.382580219010632;0.00189393939393939;0.00610195118439052;0.0116691377431629;0.0342357261141911;0.0907316768189207;0.0838718405806328;0;0;0.0229676140118969;0;0.0201496936460585;0.0233295664353473;0;0.0519863882388668;0.0842021073406761;0.616783065735474;0.415225701577321;0.406265916470364;0;0;0;6517;6059;0;0.998106060606061;0;0.00652575284904819;0.013216639078118;0;0;0
5043;2616;Level 2;Building Centroid;0.169918640650875;0.354062092495668;0.383101483415038;0;0.0108539131686947;0.0178319429806542;0.0189898480812154;0.0511378860684875;0.0745985070350799;0;0.0329937360501116;0.0142146442543006;0;0;0.0104352358820908;0;0.000428716886086351;0.0399145285541478;0.767207862337101;0.562306854111216;0.457638314127459;0;0;0;6517;6065;0;1;0;0.0165451709428917;0.0177568122493156;0;0;0
5729;1095;Level 2;Building Centroid;0.328605371157031;0.371786856254801;0.40404158973706;0.0321969696969697;0.00446396428828569;0.0528080956038656;0.160126718986248;0.230551437094729;0.196371442668874;0;0.0199438404492764;0.020658794948286;0;0;0.00809949385624244;0;0;0;0.486860105119159;0.324185884496526;0.301032183103075;0;0;0;9253;6306;0;0.96780303030303;0;0.0550351753995034;0.0341686827529127;0;0;0
8138;482;Level 2;Building Centroid;0.319713442292462;0.379896750683268;0.321240131788375;0;0.0221938224494204;0.00550633250567157;0.0465116279069767;0.0455868955538486;0.0526516839625645;0;0;0.0602883121058931;0;0;0.0285481791557904;0;0;0;0.61156310749514;0.508717243350422;0.518960495320558;0;0;0;10836;6374;0;1;0;0.0024531259947794;0.0393315878270835;0;0;0
2947;6021;Level 2;Building Centroid;0.336777305781554;0.246838212965113;0.225747278283568;0.0189393939393939;0.0438296493628051;0.0146790875475608;0.0269817841457268;0.0156526321430485;0.0181746195963583;0.00378787878787879;0.12859097127223;0.063097300869938;0;0;0.00571003374291717;0;0.0144066736928601;0.0698156076908385;0.463784289725682;0.645317161179686;0.626430492773922;0;0;0;6571;5478;0.123106060606061;0;0.854166666666667;0.0151345737569237;0.0389814254790858;0;0;0
3292;4390;Level 2;Building Centroid;0.622777017783858;0.598520033582823;0.542254249697587;0;0.126790985672115;0.0499499830299566;0.00664194686442508;0.0139020381915293;0.0127729674667346;0;0;0.0195423447241028;0;0;0;0.00692994456044352;0.0255622443328987;0.110955704462978;0.236860105119159;0.292518890337793;0.275866253899535;0;0;0;13169;5697;0;0;1;0.0222532151270134;0.035895619787356;0;0;0
5153;2628;Level 2;Building Centroid;0.258045935632515;0.3649541808828;0.38660509645381;0;0.0179278565771474;0.0146031689323163;0.0280977752177983;0.0873019417302299;0.0855470490863946;0;0.0267117863057096;0.019756703167146;0;0;0.0175936684280894;0;0.0152194494560655;0.0600409053288343;0.669162646698826;0.498146692627856;0.42411822754186;0;0;0;6517;6060;0;0.0208333333333333;0.979166666666667;0.0133857515757306;0.0126993537913032;0;0;0
1233;7169;Level 2;Building Centroid;0.250755993952048;0.191011235955056;0.12056129432737;1;0.0740694074447404;0.021895821796681;0.0268017855857153;0.0111287758346582;0.00536782963010123;0;0.184660522715818;0.0507895535985424;0;0.045747664386131;0.0447770102502069;0.00896392828857369;0.0213822546935567;0.0192012319348061;0.454730362157103;0.658035762133581;0.776524797860826;0;0;0;10707;5412;0;0;0;0.0109346151397466;0.0226272521805564;0;0;0
1307;7144;Level 2;Building Centroid;0.226996184030528;0.206726389310659;0.122007703571656;0.998106060606061;0.0660954712362301;0.0211589646487201;0.040499676002592;0.0111287758346582;0.00536782963010123;0;0.167848657210742;0.0507895535985424;0;0.0118254407745485;0.0522478035270898;0.0169558643530852;0.0199174719994284;0.0192648978162603;0.481586147310821;0.67844447223165;0.767543929458203;0;0;0;10707;5413;0;0;0.00189393939393939;0.0109346151397466;0.0226272521805564;0;0;0
