inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
2207;5857;Level 2;Building Centroid;0.0718194254445964;0.0839615226594738;0.0702931018017444;0;0.00703794369645043;0.00174612815062253;0.0603895168838649;0.0956485236062235;0.127827163048322;0;0.08218734250126;0.0205114235186938;0;0;0.0116110651301967;0.00145798833609331;0.00146478269412837;0.00317732539632011;0.777089783281734;0.796663153569961;0.776498933596486;0;0;0;5659;4612;0;1;0;0.000861478958426179;0.00913804354746292;0;0;0
2122;5786;Level 2;Building Centroid;0.0590395276837785;0.0685053857558815;0.0551107786337302;0.142045454545455;0.00662394700842393;0.00174612815062253;0.0539815681474548;0.055876100819921;0.161526309925511;0;0.0538915688674491;0.0205114235186938;0;0;0.0354957184694722;0.00145798833609331;0.00533663207159572;0.00469734831603744;0.824987400100799;0.848019863882389;0.677275657350226;0;0;0;5659;4618;0.00568181818181818;0.852272727272727;0;0.000861478958426179;0.00913804354746292;0;0;0
3951;5404;Level 2;Building Centroid;0.0176938584491324;0.0504590843321841;0.145490466034252;0;0;0.0237446633679284;0.0128338973288214;0.0440774548507529;0.0595435156299739;0;0;0;0;0.00931119486968793;0.0097747023620042;0.034109727122183;0.0475295189439274;0.0300164735468263;0.935362517099863;0.824873617834622;0.720606258356147;0;0;0;9556;4634;0;1;0;0.0122974629146241;0.0222671420385815;0;0;0
3066;4256;Level 2;Building Centroid;0.123245014039888;0.274901305800182;0.27478194435602;0.0587121212121212;0.00523795809633523;0.00129954806094925;0.0380876952984376;0.0300771690394955;0.0682717100655759;0;0.0448736410108719;0.0116066165306086;0.0366837065303478;0.0152819706686197;0.00680827019800089;0;0.0103160000714528;0.0135170624562297;0.751853985168119;0.656508458226898;0.630867208887757;0;0;0;3170;4695;0.0454545454545455;0.895833333333333;0;0.000578961609473483;0.00517086330935252;0;0;0
2883;4221;Level 2;Building Centroid;0.285279717762258;0.173616941462282;0.145665547208251;0;0.00248398012815897;0.00129954806094925;0.013139894880841;0.0237580607706186;0.0242268574520914;0;0.006749946000432;0.0116066165306086;0;0.00886908058091138;0.00680827019800089;0.025703794369645;0.0398126149943731;0.0507715509008722;0.666624667002664;0.741028205998464;0.766773970204367;0;0;0;3170;4700;0;1;0;0.000578961609473483;0.00517086330935252;0;0;0
2944;4212;Level 2;Building Centroid;0.341745266037872;0.200282238616674;0.177028952059591;0.0303030303030303;0.00352797177622579;0.00129954806094925;0.0214018287853697;0.029501080723817;0.0357364550837206;0.00189393939393939;0.006749946000432;0.0116066165306086;0;0.0110394598167235;0.00680827019800089;0.0181078551371589;0.0226014183383648;0.03861733621952;0.60843113255094;0.72366070631107;0.73605518240275;0;0;0;3170;4702;0;0.96780303030303;0;0.000578961609473483;0.00517086330935252;0;0;0
6913;3918;Level 2;Building Centroid;0.0363957088343293;0.127212804344331;0.141047781244031;0.0776515151515152;0.00448196414428685;0.00308140261874565;0.053405572755418;0.0239143638020043;0.0257608072833768;0;0;0.00195155499187224;0.0188818489452084;0.00978456976474161;0.0107873877888839;0;0.00802504421142888;0.00905249251925893;0.886834905320757;0.826030260266876;0.797484799770803;0;0;0;2758;4714;0;0.922348484848485;0;0.0142014706818616;0.00165929203539823;0;0;0
6575;3909;Level 2;Building Centroid;0.139426884584923;0.193132491381004;0.219846246896288;0.00757575757575758;0.00590395276837785;0.0235928261374395;0.105659154726762;0.0410898340508387;0.0336056376138028;0;0.0150118799049608;0.00372447794787517;0.0873173014615883;0.0322296850717208;0.0351236709747246;0;0.00992300959254033;0.013216639078118;0.646680826553388;0.696303210017685;0.671480072579105;0;0;0;2758;4715;0;0.992424242424242;0;0.0209560227923856;0.00576375183039409;0;0;0
5283;3719;Level 2;Building Centroid;0.172780617755058;0.357210482127865;0.418316674094353;0.314393939393939;0.0480416156670747;0.0226237473428485;0.165994672042624;0.132629820832068;0.178298290571083;0;0.0623155014759882;0.0155811793287008;0.0473216214270286;0.0183633732873654;0.0403621792831222;0;0;0;0.503545971632227;0.453586931280256;0.334846724390399;0;0;0;5335;4727;0.246212121212121;0.439393939393939;0;0.0154031641943083;0.0127689883491437;0;0;0
3938;5087;Level 2;Building Centroid;0.0964252285981712;0.0725781961737018;0.0983816928757879;0;0.0653934768521852;0.0276031153427056;0.097469220246238;0.0504680159339776;0.0752232284968485;0;0;0.0126292849359604;0.0182878536971704;0.0150274200175059;0.0114558795441523;0;0;0.008250700324696;0.722424220606235;0.821689501795252;0.786536257719488;0;0;0;9556;4659;0.545454545454545;0;0.454545454545455;0.0122974629146241;0.00785079900681225;0;0;0
