inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
4824;6204;Level 2;Building Centroid;0.287079703362373;0.223379360854576;0.386459858661743;0;0.104723162214702;0.0992881513370608;0.0880012959896321;0.136716028652579;0.107231250397912;0;0.0294477644178847;0.1431110555367;0.0912592699258406;0.0729265286436469;0.0924985675176673;0;0;0.00967721398102757;0.399452804377565;0.324547614369161;0.242849525689183;0;0;0;7011;4615;0;1;0;0.0734246673457694;0.0878370312599478;0;0;0
5041;5698;Level 2;Building Centroid;0.139732882136943;0.213889533949018;0.222072563188387;0.138257575757576;0.0547555619555044;0.0266474339508047;0.103517171862625;0.0691038030760437;0.0746959954160565;0.0132575757575758;0.0850673194614443;0.0411880816705668;0.142396860825113;0.155999356924671;0.11060156299739;0;0.0458593094085493;0.0904194785764309;0.474512203902369;0.447299083617656;0.441795457439358;0;0;0;5412;4642;0;0.848484848484849;0;0.0248595371490418;0.0355374992041765;0;0;0
5448;5789;Level 2;Building Centroid;0.217726258189934;0.300137546667619;0.315717116572229;0;0.0232738138094895;0.0368428573980458;0.11500107999136;0.0787677962165735;0.0918638982619214;0;0;0.010780443364713;0;0.00171040174344867;0.0285083879798816;0.0634674922600619;0.0866588664011004;0.112885576494557;0.580495356037152;0.485075293403119;0.406512621760998;0;0;0;9654;4635;0;1;0;0.029956786782963;0.0145377061182912;0;0;0
5368;5787;Level 2;Building Centroid;0.233314133486932;0.265143530840821;0.306216973323996;0;0.0607855137158903;0.0412059448741537;0.0634494924040608;0.0803620871367071;0.091997198701216;0;0.00251997984016128;0.0116959325485433;0;0.0128168485736232;0.0521821480868403;0.0486536107711138;0.0914863971704686;0.104006175590501;0.591223270213838;0.497257998249406;0.40156259947794;0;0;0;9654;4636;0;1;0;0.0293539504679442;0.014663048322404;0;0;0
5829;5615;Level 2;Building Centroid;0.166912664698682;0.187201907790143;0.207351817660916;0;0.0236338109295126;0.0245127811221664;0.149740802073583;0.111948696879298;0.0917683994397402;0;0.0485456116351069;0.0713992247369643;0;0.0529376038298709;0.0782911281594194;0;0.0214760365123881;0.0467844750748074;0.611131110951112;0.528853539593791;0.456810657668555;0;0;0;10112;4649;0;1;0;0.0219289170433565;0.0474469981536894;0;0;0
5438;5549;Level 2;Building Centroid;0.0198538411692706;0.070452474946857;0.164980183994397;0;0.0817013463892289;0.0512182704846287;0.151684786521708;0.13702863471535;0.100924349016362;0;0.0386996904024768;0.021846697986817;0.0775253797969616;0.105803754845394;0.0877853027312663;0;0.00700237580607706;0.0670759852295155;0.630516955864353;0.606620996409496;0.521471318520405;0;0;0;9654;4655;0;1;0;0.0332514961482142;0.0244894792130897;0;0;0
3868;4804;Level 2;Building Centroid;0.448484412124703;0.546529179543059;0.552900378811995;0;0.0179818561451508;0.0226192815419517;0.110915112679099;0.0979484110680409;0.0726925097090469;0;0.0793793649650803;0.0337703863810936;0.0312117503059976;0.0416659223665172;0.0354738333227224;0;0.00526517925724799;0.0721632870694595;0.31202750377997;0.252192708240296;0.236858964156109;0;0;0;2073;4688;0;1;0;0.0100771152989113;0.0198299325141657;0;0;0
3039;4792;Level 2;Building Centroid;0.431330549355605;0.549391757917865;0.494172582288152;0;0.0366117071063431;0.0186670477483432;0.178612571099431;0.108210821528733;0.0848825364487171;0;0;0.00880655936835712;0;0.0445686929493935;0.0347456548035908;0.00592195262437901;0.0322118218681338;0.0548919271662316;0.34750521995824;0.238138832818278;0.278520325332654;0;0;0.00206118291207742;4204;4687;0;1;0;0.0373997262367098;0.013320096135481;0;0;0
2630;4635;Level 2;Building Centroid;0.302991576067391;0.371822582661975;0.357468007894569;0;0.100979192166463;0.0841490862971365;0.0934192526459788;0.0683937407334631;0.0494902750366079;0;0;0.0305952019435165;0;0.0399421232203783;0.026198510218374;0.00113399092807258;0.0750790446758722;0.146632472782836;0.501475988192094;0.330009288865865;0.31297152543452;0;0;0;4204;4701;0;1;0;0.0817171484051697;0.0255141019927421;0;0;0
2623;4491;Level 2;Building Centroid;0.329667362661099;0.353173398117218;0.386668762335265;0.422348484848485;0.214702282381741;0.12896339829585;0.0441176470588235;0.067393401332595;0.0502880881135799;0;0.0153178774569803;0.044894696414855;0.0640614875080999;0.0364632643218235;0.0291450467944229;0;0.0721048212786481;0.128595132743363;0.332133342933257;0.296993622836319;0.298203030495957;0;0;0;4204;4709;0;0.577651515151515;0;0.0776743649328325;0.0294196059081938;0;0;0
6000;2353;Level 2;Building Centroid;0.272913816689466;0.346238009324592;0.394197252817215;0;0.0128878968968248;0.0031975134420607;0.0471416228670171;0.0517005769814759;0.0525422582288152;0;0.00593995248038016;0.0038093281649131;0.25327597379221;0.177988960540183;0.122178805628064;0;0.0351994426680481;0.125962946456994;0.407822737418101;0.38186170307783;0.288472098427453;0;0;0;11644;4844;0.0189393939393939;0.751893939393939;0.229166666666667;0.0149435761125613;0.00169709365251162;0;0;0
