inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
1146;7328;Level 2;Building Centroid;0.23671610627115;0.312199674889695;0.279694165021965;0;1.7999856001152e-05;0.0206900555545632;0.12718698250414;0.107683857022918;0.0992133284522824;0;0.00786593707250342;0.0166619031457102;0.0355677154582763;0.0224853075150497;0.0463606990513784;0.015515875872993;0.065821439416945;0.114421515884637;0.577129382964936;0.454453296654222;0.362095721652766;0;0;0;11365;4595;0;1;0;0.010242248678933;0.00935689501496148;0;0;0
1272;6264;Level 2;Building Centroid;0.112301101591187;0.162581947446455;0.13040762080601;0;0;0;0.322233422132623;0.383978492702881;0.343499315591774;0;0;0;0;0.032944213215198;0.0265168396256446;0;0.0226371447455387;0.088833800216464;0.56546547627619;0.397858201889927;0.410742423760107;0;0;0;11365;4658;0;1;0;0;0;0;0;0
2122;6091;Level 2;Building Centroid;0.166462668298654;0.17867669387828;0.130288247278284;0;0;0;0.0619195046439628;0.121679677033279;0.159829216272999;0;0;0;0.0761213910288718;0.0371509976599203;0.0261109696313745;0.140218878248974;0.159987317125453;0.152764292990386;0.555277557779538;0.502505314303067;0.531007273826956;0;0;0;11365;4669;0;1;0;0;0;0;0;0
2107;5018;Level 2;Building Centroid;0.0995212038303694;0.188345152819707;0.239978592347361;0;0;0;0.117413060695514;0.0465693717511299;0.0416414655885911;0;0;0;0.0160378716970264;0.0106866615458816;0.0418802126440441;0.448394412844697;0.382580697022204;0.33703722862418;0.318615451076391;0.371813651060181;0.335958887757051;0;0;0;4195;4720;0;1;0;0;0;0;0;0
5077;4365;Level 2;Building Centroid;0.312495500036;0.31682624461871;0.326279684217228;0.123106060606061;0.0449816401468788;0.0111600364409353;0.0997912016703866;0.0511378860684875;0.0303726045712103;0;0.0195658434732522;0.00485432557474858;0.101573187414501;0.0376422357585609;0.024157222894251;0.0713154294765642;0.139605401832765;0.171708871840581;0.350259197926417;0.438769403904896;0.438821067040173;0;0;0;13001;4774;0.0132575757575758;0.668560606060606;0.195075757575758;0.00497190742980837;0.00368665244795314;0;0;0
2894;4304;Level 2;Building Centroid;0.170980632154943;0.181432093031564;0.196464951932259;0;0;0.0161304728389989;0;0.00757399832085886;0.0179756637168142;0;0.0345597235222118;0.00949875850735071;0;0.00944516889658991;0.0175399503406125;0.445352437180503;0.315816973616048;0.211639316865092;0.349089207286342;0.365802683053179;0.313190376902018;0;0;0;10432;4780;0;1;0;0.00718628636913478;0.00423179155790412;0;0;0
4673;4359;Level 2;Building Centroid;0.543793649650803;0.423228416784266;0.40467426943401;0;0;0;0.0118799049607603;0.00338061127882674;0.00856902973196664;0;0;0;0.040031679746562;0.0229631482110002;0.0270878429999363;0.0665994672042624;0.260164162840964;0.225007162411664;0.337695298437612;0.290263660884943;0.334397084102629;0;0;0;13001;4773;0;1;0;0.000264611319793723;0;0;0;0
4485;3430;Level 2;Building Centroid;0.146482828137375;0.15729890498562;0.167691952632584;0.00189393939393939;0.104831161350709;0.0832425287150998;0.0345057239542084;0.077521837766385;0.0709058859107404;0;0.205864353085175;0.169879066111716;0.0899632802937576;0.117530948000214;0.10465676131661;0;0.0163537628838356;0.00955386133571019;0.418298653610771;0.362448866579732;0.296213471700516;0;0;0;3616;4803;0;0.998106060606061;0;0.0747039536512383;0.158078404533011;0;0;0
3068;4439;Level 2;Building Centroid;0.15062279501764;0.205395580643433;0.253577226714204;0.515151515151515;0.0509755921952624;0.0161304728389989;0.0116279069767442;0.0345072435290545;0.0398389253199211;0;0.0172438620491036;0.00949875850735071;0.00914392684858521;0.0335649595398439;0.0489610523970204;0.12484700122399;0.177676354477412;0.209086712930541;0.635538915688674;0.523213233061217;0.424279381804291;0;0;0;10432;4765;0.297348484848485;0;0.1875;0.00718628636913478;0.00423179155790412;0;0;0
3618;5763;Level 2;Building Centroid;0.332979336165311;0.557912506028831;0.594961641306424;0;0;0.0048989835837159;0.0269637842897257;0.0252853646773012;0.0123889826192144;0;0.0990532075743394;0.0524463657312302;0;0.0341678426609028;0.0280905806328389;0.00241198070415437;0.0196093317375538;0.121613770930159;0.538573691410469;0.305675139779568;0.217395110460304;0;0;0;10432;4683;0;0.210227272727273;0.789772727272727;0.00218254599859935;0.0233653784936652;0;0;0
4252;5574;Level 2;Building Centroid;0.433526531787746;0.507239063253604;0.496832622397657;0;0.0105119159046728;0.0026392883299691;0.119951040391677;0.08258605598328;0.0812038422359458;0;0.0637554899560804;0.0206855897536664;0.0283857729138167;0.0371331344563334;0.0236956452537085;0.0375296997624019;0.094621389399975;0.157392006748583;0.306321549427605;0.255091013022275;0.22165674540014;0;0;0;5075;4686;0;0.164772727272727;0.835227272727273;0.00999952250588909;0.00921563634048513;0;0;0
3234;6225;Level 2;Building Centroid;0.446126430988552;0.564401314731784;0.551360460304323;0;0;0;0.0572755417956656;0.0205069577177971;0.0107913669064748;0;0;0;0.0205018359853121;0.0196539897465211;0.0338264786400968;0.0384656922744618;0.161925474714635;0.177836712930541;0.437630498956008;0.233512263089262;0.224426211243395;0;0;0;10498;4662;0;0;1;0;0.00175876997517031;0;0;0
3682;5740;Level 2;Building Centroid;0.559417524659803;0.575717654204105;0.607637120392182;0;0;0.0048989835837159;0.0251817985456116;0.0241510512495311;0.0117304386579232;0;0;0.0524463657312302;0;0.0234097283006734;0.0247759756796333;0.000323997408020736;0.0616280523749129;0.136036082638314;0.415058679530564;0.257743698754935;0.194270468580888;0;0;0;10432;4684;0;0.0227272727272727;0.977272727272727;0.00218254599859935;0.0233653784936652;0;0;0
2203;5273;Level 2;Building Centroid;0.601393188854489;0.452372233436344;0.331341121792831;0;0;0;0.0317877456980344;0.066991479251889;0.0473236455083721;0;0;0;0.056015551875585;0.0641110376734964;0.0632759279302222;0.0125998992008064;0.100203640520891;0.220007401158719;0.298203614371085;0.316317143316482;0.338047924492265;0;0;0;4195;4705;0;0;1;0;0;0;0;0
2164;5074;Level 2;Building Centroid;0.327219382244942;0.234753755738554;0.263117161138346;0;0;0;0.116117071063431;0.0538932852217717;0.0375887343222767;0;0;0;0.0297357621139031;0.0229095586002394;0.031826972050678;0.229408164734682;0.39018595594934;0.338535366397148;0.29750161998704;0.298248512888301;0.328927786973961;0;0;0;4195;4716;0;0.151515151515152;0.848484848484849;0;0;0;0;0
2943;4337;Level 2;Building Centroid;0.178360573115415;0.193663921687715;0.216402320621379;0;0.000125998992008064;0.0161304728389989;0.00017999856001152;0.0123747342848466;0.0203213535366397;0.0473484848484848;0.0382856937144503;0.00949875850735071;0;0.0105035637091156;0.0252594384669256;0.41703866369069;0.306729068791197;0.212128748328771;0.365991072071423;0.431570532859363;0.351666454447062;0;0;0;10432;4776;0;0;0.952651515151515;0.00718628636913478;0.00423179155790412;0;0;0
1603;8250;Level 2;Building Centroid;0.291507667938657;0.34810024829853;0.336492089514229;1;0.0507415940672475;0.0241376538468409;0.0104579163366693;0.00865918793876494;0.0168714585853441;0;0.0135898912808698;0.00337167967703328;0.0592555259557924;0.0308631499973205;0.0245292703889985;0.0855713154294766;0.188434468837641;0.254309384350926;0.488876088991288;0.396429145602972;0.354141465588591;0;0;0;12419;4537;0;0;0;0.0121522251225568;0.00150211689055835;0;0;0
1582;8007;Level 2;Building Centroid;0.743268053855569;0.614686232828996;0.494451120519514;1;0.0377276981784146;0.0244725889140959;0.0031859745122039;0.0444481163251818;0.0303805628063921;0;0;0.00337167967703328;0;0.0242448330683625;0.0321353536639715;0;0.0373296296957896;0.132349430190361;0.215818273453812;0.251442453689645;0.297027201247851;0;0;0;12419;4559;0;0;0;0.0121522251225568;0.00150211689055835;0;0;0
1010;7447;Level 2;Building Centroid;0.114893080855353;0.170343509404977;0.207130976634622;1;0.083375332997336;0.0206900555545632;0.0374757001943984;0.0753023347207088;0.0558628318584071;0;0.0671574627402981;0.0166619031457102;0.117629058967528;0.0829701148603991;0.0555365442159547;0.00521995824033408;0.0257006841606974;0.0574544788947603;0.5453056375549;0.381272217359461;0.300329868848284;0;0;0;11365;4585;0;0;0;0.00921762589928058;0.00866253899535239;0;0;0
6390;6218;Level 2;Building Centroid;0.323565411476708;0.244127471820796;0.20216901699879;0.924242424242424;0.021311829505364;0.00528750826173166;0.165328677370581;0.041018381236491;0.0182740975361304;0;0;0;0.123101015191878;0.0475920401564817;0.0280647163684981;0.14734682122543;0.371505510798307;0.413074186668364;0.219346245230038;0.290469087726193;0.336062344814414;0;0;0;8547;4661;0.0757575757575758;0;0;0.00235563761380276;0;0;0;0
4191;5587;Level 2;Building Centroid;0.483818129454964;0.522663939550919;0.496092506525753;0.778409090909091;0.0105119159046728;0.00260802772369197;0.119951040391677;0.0631687536842857;0.0715982523715541;0;0.0432536539707682;0.0177649559672032;0;0.0267010235615655;0.021926927484561;0.0394016847865217;0.155012414926493;0.166916024702362;0.303045575635395;0.212076418784945;0.226149169160247;0;0;0;5075;4685;0.221590909090909;0;0;0.008097504297447;0.00921563634048513;0;0;0
