inner_x;inner_y;level_name;class_name;Rel. area of Bare Soil (133);Rel. area of Bare Soil (267);Rel. area of Bare Soil (400);Rel. area of Buildings (13);Rel. area of Buildings (133);Rel. area of Buildings (267);Rel. area of Grass (133);Rel. area of Grass (267);Rel. area of Grass (400);Rel. area of Other Impervious (13);Rel. area of Other Impervious (133);Rel. area of Other Impervious (267);Rel. area of Roads (133);Rel. area of Roads (267);Rel. area of Roads (400);Rel. area of Shrub (133);Rel. area of Shrub (267);Rel. area of Shrub (400);Rel. area of Tree Canopy (133);Rel. area of Tree Canopy (267);Rel. area of Tree Canopy (400);Rel. area of Water (133);Rel. area of Water (267);Rel. area of Water (400);"ID_Parcel"  Parcels;"ID_Build"  Building_Centroids;Rel. area of Grass (13);Rel. area of Tree Canopy (13);Rel. area of Bare Soil (13);Rel. area of Buildings (400);Rel. area of Other Impervious (400);Rel. area of Roads (13);Rel. area of Shrub (13);Rel. area of Water (13)
12849;8651;Level 2;Building Centroid;0.717420260637915;0.418976974330576;0.286721286687464;0.259469696969697;0.0232198142414861;0.0157821403690538;0.0706314349485204;0.0940140404780193;0.0697041923982938;0;0;0.00581447276754613;0;0;0.0213658719042465;0.117719058247534;0.220552508886944;0.245211131979372;0.0709914320685435;0.244850931566067;0.338794009040555;0;0;0;11758;4994;0;0.560606060606061;0.179924242424242;0.0206615680906602;0.0175359712230216;0;0;0
9899;8516;Level 2;Building Centroid;0.382892936856505;0.272900626998446;0.247903005029605;0.454545454545455;0.038015695874433;0.0152328468587556;0.0586795305637555;0.030555009735446;0.0466432164003311;0;0.0793793649650803;0.0383924903092121;0.140452876376989;0.0988147764420071;0.0850158368880117;0;0;0;0.234628122975016;0.215698183312195;0.146411631756542;0;0;0;4211;5007;0;0.494318181818182;0.0511363636363636;0.00843175017508117;0.0195991436938944;0;0;0
10190;8238;Level 2;Building Centroid;0.365577075383397;0.275490791518551;0.277475806965047;0;0;0.000267948053803969;0.0405896752825977;0.0379146496132616;0.0516350194180938;0;0;0.00483199657026491;0.0941572467420261;0.0830951572855076;0.0695748710765901;0;0;0;0.256281949744402;0.229135778210464;0.163515868720952;0;0;0;undefined;5037;0;1;0;0.0089072547271917;0.0152300725791049;0;0;0
7656;6414;Level 2;Building Centroid;0.151774785801714;0.527156535253032;0.617835598777615;0.570075757575758;0.126448988408093;0.0313722512995481;0.178954568363453;0.0818893910433897;0.0460304322913351;0;0.181240550075599;0.0524731605366106;0.044171646626827;0.0740742394741073;0.0569511205195136;0;0;0.0519036098554784;0.317409460724314;0.233034422393312;0.189925272171643;0;0;0;7057;5279;0.429924242424242;0;0;0.0139766505379767;0.0233773158464379;0;0;0
8362;7743;Level 2;Building Centroid;0.509935920512636;0.591182722709491;0.541621570000637;0.640151515151515;0.0671394628842969;0.0166574373448134;0.155554755561955;0.0957155106196745;0.0652654867256637;0;0;0;0.0110879112967096;0.0590646826601883;0.065239622461323;0;0.10418266911988;0.173401986375501;0.256263949888401;0.133192511745056;0.137217880562806;0;0;0;4203;5091;0;0;0.359848484848485;0.0127033329088941;0.004542162729993;0;0;0
12664;8991;Level 2;Building Centroid;0.266289869681043;0.45878958932495;0.471433914815051;1;0.214270285837713;0.0656562047837659;0.143836849305206;0.161081438345153;0.084818870567263;0;0.116225070199438;0.0395625301441561;0.0152458780329757;0.0151926546506851;0.0130156936397784;0;0.0359005734088351;0.16839625644617;0.244132046943624;0.223812543541559;0.214904182848412;0;0;0;11758;4981;0;0;0;0.0298016011969186;0.0176255013688165;0;0;0
12791;8831;Level 2;Building Centroid;0.236860105119159;0.464621925296083;0.45579598268288;0.958333333333333;0.0610375116999064;0.0606634393812186;0.311343509251926;0.150225076365195;0.084359282485516;0;0.0891892864857081;0.0395625301441561;0.0241378068975448;0.0306175309480002;0.0186919048831731;0;0.0240215430235258;0.160979181256764;0.277431780545756;0.230274557439131;0.230725154389763;0;0;0;11758;4985;0;0.0416666666666667;0;0.0318170242567008;0.0176255013688165;0;0;0
12851;8618;Level 2;Building Centroid;0.620833033335733;0.394428466801236;0.264820223467244;0.765151515151515;0.0232198142414861;0.0156303031385649;0.0399236806105551;0.0719931762562298;0.0653430795186859;0;0;0.000151837230488916;0;0;0.0209938244094989;0.246022031823745;0.263473321305443;0.251545887184058;0.0699834401324789;0.254313963666244;0.364662252498886;0;0;0;5481;4997;0;0.234848484848485;0;0.0167381581460495;0.0158925956579869;0;0;0
9927;8499;Level 2;Building Centroid;0.320037439700482;0.26957360533038;0.256318838734322;0.617424242424242;0.038015695874433;0.0152328468587556;0.0572215422276622;0.0325154963291117;0.0455031992105431;0.181818181818182;0.0853913168694651;0.0390936210499991;0.171646626826985;0.10123077472714;0.0822821831030751;0;0;0;0.253815969472244;0.218556295886104;0.147726730120329;0;0;0;4211;5011;0;0;0.200757575757576;0.00843175017508117;0.0193862609027822;0;0;0
9823;8491;Level 2;Building Centroid;0.51312189502484;0.338851574641396;0.285847870376265;0.994318181818182;0.0613615091079271;0.015911648595059;0.045359637122903;0.0536923241814187;0.0626909976443624;0;0.0774893800849593;0.037624372554974;0.0062999496004032;0.111260963541201;0.0922399248742599;0;0;0;0.296313629490964;0.233476536682089;0.162077417711848;0;0;0;4211;5013;0;0;0.00568181818181818;0.00878390208187432;0.0217757210161075;0;0;0
9394;8419;Level 2;Building Centroid;0.233890128878969;0.358505564387917;0.360344909912778;0.996212121212121;0.0539275685794514;0.0133795394866115;0.202984376124991;0.134809131669674;0.0929283122174827;0;0.0125458996328029;0.00311266322502278;0.0195118439052488;0.108827102052482;0.0866273795123193;0;0.0011164502241832;0.0156140574266251;0.477140182878537;0.258636858934281;0.217964124275801;0;0;0;3881;5019;0;0;0.00378787878787879;0.00760608327497294;0.00552898389253199;0;0;0
9817;8382;Level 2;Building Centroid;0.510637914896681;0.480792590343152;0.392291255491182;0.996212121212121;0.04109367125063;0.0189260642003537;0.0472856217150263;0.0731364212857934;0.0895878429999363;0;0.0853013175894593;0.0457655275897179;0;0.105794823243601;0.0959464729101674;0;0;0;0.315663474692202;0.272351333488148;0.188948398803081;0;0;0;4211;5021;0;0;0.00378787878787879;0.00949815368943783;0.0231107149678487;0;0;0
