variable_name,variable_number,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
ID_Build,1,11181,5563.123602540023,3214.323193939389,5561,5561.386584684181,4127.5584,1,11140,11139,0.0038789579957844026,-1.199555399645754,30.398294514211642
ID_Parcel,2,11181,5983.051784276899,3953.7583609340936,5432,5861.448742314142,4974.123,4,13396,13392,0.21299037329075973,-1.1776399082088778,37.39123412366093
build_Mean_elev_30m,3,11181,722.8127620184051,462.9630062954727,793.0640902029243,692.8785888502324,412.071085792879,12.074819497637167,2817.769025977278,2805.694206479641,0.4829166548854874,0.41177661300676416,4.378304534245281
build_Mean_elev_100m,4,11181,722.2968171576805,461.99112389374187,794.4050327063393,692.1514174258674,406.8463544278835,11.467531518560353,2769.5911144876327,2758.1235829690722,0.470331724975076,0.35364695887093633,4.36911330931286
build_Mean_slope_30m_DEM,5,11181,9.966889893892816,5.655904196509235,9.015864655929194,9.50808810796213,5.775394901138339,0.8546943367855862,34.36501461021909,33.51032027343351,0.7143900184937373,0.07968433052418655,0.05348866032943646
build_Mean_slope_100m_DEM,6,11181,11.838307699532818,5.692395699305969,10.985626069555384,11.444514757719402,5.767993296243792,1.2789705310500128,34.82424699685746,33.54527646580745,0.6047967409828993,-0.1303981943282091,0.05383376546739298
build_Mean_aspect_30m_DEM,7,11181,180.76849610341182,47.30873889001214,183.28436481937405,181.48343250621352,49.86843054952985,41.01040531683733,322.8735451247025,281.8631398078652,-0.14774745427525557,-0.3400719465974871,0.4474052206654502
build_Mean_aspect_100m_DEM,8,11181,181.01526223888064,36.40252333102185,182.1728743695056,181.39269035397186,39.165761311986216,58.76369717504269,295.16044626507863,236.39674909003594,-0.10561871307159543,-0.3107765513224332,0.3442636469672094
build_Mean_distroad,9,11093,822.5543416174626,730.4977128346108,602.9437641647627,721.90853815754,671.0839945819357,0,3666.8984503495067,3666.8984503495067,1.0864520468646934,0.5641659729746995,6.9357647479059
build_Mean_builddens,10,11093,1.5359149834126573,0.9691918182740358,1.4166608231408255,1.4737223290605763,1.093955669839382,0.0031830989755690098,4.414015639769404,4.410832540793835,0.4943116494325124,-0.6504733321851113,0.009202063646523423
build_Mean_distall_road,11,11169,28.195792987659964,27.13553615702612,28.66171003717472,24.232162865449936,20.407539510041982,0,430.6807465986772,430.6807465986772,2.4522146090697925,13.26607333391943,0.2567623024957586
build_structures_DAMAGE*,12,1536,1.9700520833333333,0.4655020027340407,2,1.9983739837398373,0,1,4,3,1.2516375803484887,7.751534970286356,0.01187752480147979
build_NEAR_FID,13,11181,5614.681423844021,3235.6560737599057,5619,5616.061039686976,4152.7626,1,11211,11210,-0.002405834313879438,-1.2005249947076888,30.600042479333215
build_NEAR_DIST,14,11181,42.159187003853,104.03436011450405,16.146554528555804,23.97778565682536,15.371961271871708,0,3916.0347419129203,3916.0347419129203,14.253097419558236,369.2583089494963,0.9838671868221227
build_NEAR_ANGLE,15,11181,4.133754602396306,103.90814129503053,0,4.479072446270496,132.76432459728846,-179.9891069274135,180,359.9891069274135,-0.007974134210909874,-1.1345055996914455,0.9826735181658948
build_Shape_Length,16,11181,234.75437718278897,139.90549900840298,216.68201410689056,218.7236516757079,113.38956235876884,0.14540573421118358,3246.959573365828,3246.814167631617,3.902442794606731,48.17244765402791,1.3231054584162558
build_Shape_Area,17,11181,2802.075772830966,3611.700466396889,2267.1735468855472,2347.635378764215,1885.2629930099367,9.063185480342462e-4,115867.76868640936,115867.76778009081,10.965357526184343,210.26867977468282,34.15634578428719
damage_cat*,18,11181,1.8796172077631697,0.32542318143753285,2,1.9745108999441028,0,1,2,1,-2.3328593500666504,3.442540663208737,0.0030775715801515603
damage_binary,19,11181,0.12038279223683034,0.32542318143753285,0,0.02548910005589715,0,0,1,1,2.3328593500666504,3.442540663208737,0.0030775715801515603
damage_severity,20,11181,1.498166532510509,1.2961761711738204,1,1.1227501397428732,0,1,5,4,2.286880984313954,3.300788903568079,0.012258115508713209
build_area,21,11181,2802.0757728302824,3611.7004663956495,2267.173546858132,2347.6353787640296,1885.2629929698362,9.06318542547524e-4,115867.76868605614,115867.7677797376,10.965357526189951,210.2686797746973,34.156345784275466
build_dist_to_build_ft,22,11134,101.64319460845195,147.73368779386823,75.69918224574826,82.46809482340991,37.25218512422757,0,8639.6352529455,8639.6352529455,24.55177664485758,1122.2062780593562,1.4000834776228765
build_min_dist_tree,23,11181,3.324214310149645,11.65165047761898,0.75,0.932372217207664,0,0.75,345.2518005371094,344.5018005371094,10.42946603094363,181.19920066803442,0.11019125378031147
build_min_dist_shrub,24,11181,288.6916459763629,302.97941768985993,180.15618896484375,234.5132019482224,183.2670882637024,0.75,2377.105712890625,2376.355712890625,2.049286467510986,5.919292956448045,2.865317833641086
build_has_tree_overhang,25,11134,0.7092689060535298,0.4541200799985295,1,0.7615626403233049,0,0,1,1,-0.9215629072000393,-1.1508251452122553,0.0043037307898917115
build_overhang_ht,26,11134,14.127978846069594,12.57830328606018,13.376656011348501,12.794169810352672,16.053620753678658,-0.04443359375,90.205115288496,90.249548882246,0.7409370643507095,0.4456147719916328,0.1192055439102992
build_perc_overhang,27,11134,0.0954116258135229,0.2166404471057484,0.008940049845714405,0.03557487019066518,0.013254517901256176,0,1,1,3.120845678575038,9.200222781701338,0.0020531181148121334
build_p_tree_10,28,11181,27.027182326757977,22.77850011363013,22.044088176352705,24.197485340204043,21.349283063136934,0,100,100,1.0444852095377604,0.73148392540815,0.21541939415168496
