polygon_id,min_dist_tree
1,0.75
2,0.75
3,0.75
4,18.03122329711914
5,0.75
6,0.75
7,0.75
8,0.75
9,1.0606601238250732
10,19.121322631835938
11,7.386643409729004
12,0.75
13,0.75
14,0.75
15,2.1213202476501465
16,0.75
17,0.75
18,0.75
19,0.75
20,0.75
21,0.75
22,0.75
23,0.75
24,0.75
25,10.090217590332031
26,0.75
27,0.75
28,28.814058303833008
29,0.75
30,0.75
31,0.75
32,0.75
33,19.121322631835938
34,0.75
35,0.75
36,0.75
37,0.75
38,2.25
39,0.75
40,0.75
41,0.75
42,0.75
43,0.75
44,0.75
45,0.75
46,0.75
47,10.659502983093262
48,Inf
49,0.75
50,0.75
51,0.75
52,0.75
53,0.75
54,0.75
55,0.75
56,0.75
57,0.75
58,Inf
59,0.75
60,0.75
61,0.75
62,3.75
63,0.75
64,0.75
65,0.75
66,0.75
67,2.3717081546783447
68,12.414709091186523
69,4.5
70,0.75
71,Inf
72,0.75
73,0.75
74,0.75
75,0.75
76,0.75
77,0.75
78,0.75
79,0.75
80,0.75
81,2.1213202476501465
82,0.75
83,0.75
84,0.75
85,7.386643409729004
86,0.75
87,0.75
88,0.75
89,0.75
90,0.75
91,Inf
92,0.75
93,0.75
94,0.75
95,5.460082530975342
96,11.858541488647461
97,0.75
98,0.75
99,0.75
100,0.75
101,0.75
102,0.75
103,0.75
104,0.75
105,0.75
106,0.75
107,0.75
108,1.5
109,0.75
110,0.75
111,0.75
112,2.25
113,0.75
114,0.75
115,0.75
116,0.75
117,0.75
118,0.75
119,0.75
120,0.75
121,0.75
122,0.75
123,Inf
124,0.75
125,2.25
126,0.75
127,2.25
128,0.75
129,5.25
130,0.75
131,0.75
132,15.75
133,0.75
134,5.408327102661133
135,0.75
136,0.75
137,0.75
138,0.75
139,0.75
140,3
141,14.735161781311035
142,6
143,0.75
144,0.75
145,1.0606601238250732
146,0.75
147,0.75
148,0.75
149,6
150,0.75
151,0.75
152,0.75
153,0.75
154,10.090217590332031
155,0.75
156,0.75
157,0.75
158,0.75
159,79.88468170166016
160,0.75
161,0.75
162,1.5
163,55.520267486572266
164,78.05767059326172
165,0.75
166,47.100955963134766
167,25.20044708251953
168,0.75
169,0.75
170,9
171,0.75
172,0.75
173,0.75
174,0.75
175,0.75
176,0.75
177,0.75
178,2.1213202476501465
179,0.75
180,0.75
181,0.75
182,0.75
183,0.75
184,0.75
185,0.75
186,3
187,0.75
188,0.75
189,16.380247116088867
190,0.75
191,3.092329263687134
192,0.75
193,0.75
194,1.5
195,0.75
196,0.75
197,2.1213202476501465
198,18.03122329711914
199,0.75
200,0.75
201,0.75
202,3
203,0.75
204,0.75
205,0.75
206,0.75
207,0.75
208,0.75
209,0.75
210,0.75
211,0.75
212,0.75
213,0.75
214,0.75
215,0.75
216,0.75
217,0.75
218,0.75
219,0.75
220,0.75
221,0.75
222,0.75
223,11.25
224,10.006248474121094
225,0.75
226,0.75
227,0.75
228,0.75
229,0.75
230,0.75
231,0.75
232,0.75
233,0.75
234,0.75
235,0.75
236,0.75
237,0.75
238,0.75
239,0.75
240,0.75
241,0.75
242,3
243,0.75
244,0.75
245,2.3717081546783447
246,0.75
247,0.75
248,0.75
249,0.75
250,0.75
251,0.75
252,0.75
253,0.75
254,0.75
255,1.5
256,0.75
257,0.75
258,0.75
259,2.25
260,0.75
261,0.75
262,Inf
263,0.75
264,0.75
265,0.75
266,0.75
267,0.75
268,0.75
269,0.75
270,0.75
271,0.75
272,0.75
273,0.75
274,0.75
275,0.75
276,0.75
277,4.5
278,0.75
279,0.75
280,9.031195640563965
281,0.75
282,0.75
283,1.5
284,0.75
285,0.75
286,1.5
287,0.75
288,0.75
289,5.711829662322998
290,0.75
291,0.75
292,0.75
293,0.75
294,12.75
295,0.75
296,0.75
297,0.75
298,0.75
299,0.75
300,0.75
301,0.75
302,9
303,0.75
304,0.75
305,0.75
306,0.75
307,0.75
308,0.75
309,0.75
310,0.75
311,0.75
312,0.75
313,0.75
314,0.75
315,0.75
316,0.75
317,0.75
318,2.7041635513305664
319,0.75
320,0.75
321,0.75
322,0.75
323,0.75
324,5.25
325,Inf
326,0.75
327,0.75
328,Inf
329,0.75
330,0.75
331,Inf
332,0.75
333,0.75
334,Inf
335,0.75
336,0.75
337,Inf
338,Inf
339,0.75
340,0.75
341,0.75
342,0.75
343,3.3541018962860107
344,0.75
345,Inf
346,0.75
347,0.75
348,0.75
349,0.75
350,0.75
351,0.75
352,0.75
353,0.75
354,0.75
355,0.75
356,0.75
357,0.75
358,0.75
359,0.75
