var1,var2,value
parcel_Can_P,build_p_tree_10,0.5672165818799163
build_p_tree_10,parcel_Can_P,0.5672165818799163
build_p_tree_10,build_p_tree_200,0.5536841990545185
build_p_tree_200,build_p_tree_10,0.5536841990545185
parcel_Paved_P,build_p_otherpaved_10,0.5290583879756342
build_p_otherpaved_10,parcel_Paved_P,0.5290583879756342
build_p_building_300,build_p_otherpaved_300,0.5146552973968299
build_p_otherpaved_300,build_p_building_300,0.5146552973968299
build_p_building_200,build_p_otherpaved_300,0.4909431409440555
build_p_otherpaved_300,build_p_building_200,0.4909431409440555
build_p_shrub_300,build_Mean_slope_30m_DEM,0.48943249496369623
build_Mean_slope_30m_DEM,build_p_shrub_300,0.48943249496369623
build_p_building_300,build_Mean_builddens,0.4893490090531449
build_Mean_builddens,build_p_building_300,0.4893490090531449
build_p_tree_10,build_p_tree_300,0.486471909314117
build_p_tree_300,build_p_tree_10,0.486471909314117
parcel_Build_P,build_p_road_300,0.48363895745267743
build_p_road_300,parcel_Build_P,0.48363895745267743
parcel_Soil_P,build_p_soil_10,0.48202196531860175
build_p_soil_10,parcel_Soil_P,0.48202196531860175
build_p_shrub_200,build_Mean_slope_30m_DEM,0.47801816054048407
build_Mean_slope_30m_DEM,build_p_shrub_200,0.47801816054048407
build_p_grass_10,build_p_grass_200,0.4693679871008417
build_p_grass_200,build_p_grass_10,0.4693679871008417
build_p_building_300,build_p_grass_300,0.46889069066196776
build_p_grass_300,build_p_building_300,0.46889069066196776
parcel_Build_P,build_p_road_200,0.4668120808773077
build_p_road_200,parcel_Build_P,0.4668120808773077
build_p_otherpaved_10,build_p_otherpaved_200,0.46381422368804465
build_p_otherpaved_200,build_p_otherpaved_10,0.46381422368804465
build_p_soil_10,build_p_soil_200,0.46149054765277125
build_p_soil_200,build_p_soil_10,0.46149054765277125
parcel_Shrub_P,build_p_shrub_100,0.4593125812443249
build_p_shrub_100,parcel_Shrub_P,0.4593125812443249
build_p_building_200,build_Mean_builddens,0.458639285158244
build_Mean_builddens,build_p_building_200,0.458639285158244
parcel_Build_P,build_p_road_100,0.44863622105939555
build_p_road_100,parcel_Build_P,0.44863622105939555
build_p_building_300,build_p_road_300,0.4482430228046063
build_p_road_300,build_p_building_300,0.4482430228046063
build_overhang_ht,build_p_tree_100,0.4471364367923091
build_p_tree_100,build_overhang_ht,0.4471364367923091
parcel_Water_P,build_p_water_100,0.4440525149447713
build_p_water_100,parcel_Water_P,0.4440525149447713
build_perc_overhang,build_p_tree_100,0.4396780115193817
build_p_tree_100,build_perc_overhang,0.4396780115193817
build_p_shrub_300,build_p_soil_100,0.43519823235835864
build_p_soil_100,build_p_shrub_300,0.43519823235835864
build_min_dist_shrub,build_p_grass_300,0.426009149664647
build_p_grass_300,build_min_dist_shrub,0.426009149664647
build_p_building_200,build_p_road_300,0.42547247157987167
build_p_road_300,build_p_building_200,0.42547247157987167
build_p_shrub_300,build_p_soil_200,0.4254046658489031
build_p_soil_200,build_p_shrub_300,0.4254046658489031
build_p_building_300,build_p_otherpaved_200,0.4243527261971879
build_p_otherpaved_200,build_p_building_300,0.4243527261971879
build_p_grass_10,build_p_grass_300,0.423126929796938
build_p_grass_300,build_p_grass_10,0.423126929796938
build_p_soil_100,build_Mean_slope_30m_DEM,0.4222368044103193
build_Mean_slope_30m_DEM,build_p_soil_100,0.4222368044103193
build_p_soil_200,build_Mean_slope_30m_DEM,0.41952533724556057
build_Mean_slope_30m_DEM,build_p_soil_200,0.41952533724556057
build_p_building_100,build_p_otherpaved_300,0.4158534297832836
build_p_otherpaved_300,build_p_building_100,0.4158534297832836
build_p_building_200,build_p_grass_300,0.4133402064409324
build_p_grass_300,build_p_building_200,0.4133402064409324
build_p_building_200,build_p_otherpaved_200,0.4132128358291161
build_p_otherpaved_200,build_p_building_200,0.4132128358291161
