Variable,Importance,Model,n_tree
build_Mean_slope_30m_DEM,3.1323118156599867,cf_dins,500
build_perc_overhang,3.078142757082138,cf_dins,500
build_p_soil_300,3.034620196227536,cf_dins,500
build_has_tree_overhang,2.848975438241121,cf_dins,500
build_p_soil_10,2.78903052771925,cf_dins,500
build_p_soil_100,2.5622431886581065,cf_dins,500
parcel_Soil_P,2.4745035167455276,cf_dins,500
build_Mean_aspect_100m_DEM,2.375219015710042,cf_dins,500
build_p_road_100,2.0622113379940963,cf_dins,500
build_p_building_10,1.8685630314433723,cf_dins,500
parcel_Water_P,1.7359238250394922,cf_dins,500
build_p_water_300,1.6148485600760165,cf_dins,500
build_Mean_distall_road,1.602376621952242,cf_dins,500
build_p_road_10,1.4970977503797163,cf_dins,500
build_p_shrub_100,1.2776406300638978,cf_dins,500
build_p_road_200,1.0715455446258908,cf_dins,500
build_p_grass_200,0.9406372619905379,cf_dins,500
build_p_grass_300,0.6936390848108044,cf_dins,500
build_p_shrub_10,0.21373192817150619,cf_dins,500
build_p_water_100,0.019345393494949133,cf_dins,500
build_p_water_10,0,cf_dins,500
build_p_water_200,-0.09053230105443687,cf_dins,500
build_min_dist_tree,-0.18861395201247416,cf_dins,500
build_overhang_ht,-0.5874939984169811,cf_dins,500
build_Mean_aspect_30m_DEM,-0.7298044921819832,cf_dins,500
build_WINDOWPANE,100,cf_dins_binary,500
build_EAVES,68.0265477159542,cf_dins_binary,500
build_near_dest,57.72696679472078,cf_dins_binary,500
build_p_otherpaved_300,33.437580927985,cf_dins_binary,500
build_VENTSCREEN,31.148230580379234,cf_dins_binary,500
build_Mean_distroad,29.01372456839268,cf_dins_binary,500
build_p_otherpaved_200,26.42282689401011,cf_dins_binary,500
build_min_dist_shrub,25.56580254445403,cf_dins_binary,500
build_Mean_elev_100m,21.57498570917229,cf_dins_binary,500
build_p_grass_100,17.705284467556762,cf_dins_binary,500
build_FENCEATTAC,17.69589055244297,cf_dins_binary,500
build_Mean_elev_30m,17.67243913094046,cf_dins_binary,500
build_p_building_300,17.261364251622595,cf_dins_binary,500
build_p_building_200,15.897690061633933,cf_dins_binary,500
build_p_tree_300,15.820947052842685,cf_dins_binary,500
build_area,14.675126477577521,cf_dins_binary,500
build_ROOFCONSTR,13.877913438297485,cf_dins_binary,500
build_p_building_100,12.87531376028446,cf_dins_binary,500
build_p_tree_200,12.81140149881064,cf_dins_binary,500
build_PATIOCOVER,12.2196613532589,cf_dins_binary,500
build_Mean_builddens,11.765232519269029,cf_dins_binary,500
build_p_shrub_300,10.45271092026671,cf_dins_binary,500
parcel_Build_P,9.875886456710587,cf_dins_binary,500
parcel_Paved_P,9.457494043556204,cf_dins_binary,500
parcel_Can_P,8.08980569570108,cf_dins_binary,500
build_p_shrub_200,7.656673639346974,cf_dins_binary,500
build_DECKPORCHO,7.212516934947885,cf_dins_binary,500
build_p_grass_10,6.976299362651778,cf_dins_binary,500
build_Mean_slope_100m_DEM,6.906162152992727,cf_dins_binary,500
parcel_year_built,6.810511765908365,cf_dins_binary,500
build_p_tree_10,6.692977904027361,cf_dins_binary,500
build_PROPANETAN,6.552462584717104,cf_dins_binary,500
build_p_grass_200,6.424401061301266,cf_dins_binary,500
parcel_Shrub_P,6.290085584417349,cf_dins_binary,500
build_p_otherpaved_100,6.233647469453537,cf_dins_binary,500
build_p_soil_100,6.082933777418762,cf_dins_binary,500
parcel_Grass_P,5.892056156865168,cf_dins_binary,500
build_VEGCLEARAN,5.413881840536971,cf_dins_binary,500
build_p_soil_300,3.918914000903312,cf_dins_binary,500
build_Mean_slope_30m_DEM,3.7565775646316983,cf_dins_binary,500
build_Mean_aspect_30m_DEM,3.3884711054385708,cf_dins_binary,500
build_Mean_aspect_100m_DEM,3.1695692351921654,cf_dins_binary,500
build_p_shrub_100,3.1255938843730693,cf_dins_binary,500
parcel_area,3.119414954011343,cf_dins_binary,500
parcel_Road_P,3.0858993021325816,cf_dins_binary,500
build_p_road_300,3.0356093266497353,cf_dins_binary,500
build_p_building_10,2.9177921669303832,cf_dins_binary,500
