polygon_id,a_tree,a_grass,a_soil,a_water,a_building,a_road,a_other_paved,a_shrub,a_total,p_tree,p_grass,p_soil,p_water,p_building,p_road,p_other_paved,p_shrub,Impervious Surface (%)
1,10519.875,20528.4375,18399.375,0,7610.625,4609.125,3923.4375,0,65590.875,16.03862579970156,31.29770337718471,28.051729756616297,0,11.6031765089275,7.027082654408864,5.981681903161072,0,24.611941066497437
2,12039.1875,21774.9375,34538.0625,0,6123.9375,5192.4375,8255.8125,0,87924.375,13.692662017785171,24.765530036465996,39.281555882541106,0,6.965005437911842,5.905572260252064,9.389674365043824,0,22.260252063207727
3,10963.125,22515.75,39279.375,0,6121.125,4609.125,6817.5,0,90306,12.139974088100459,24.93272872234403,43.49586406218856,0,6.778204106039467,5.103896751046442,7.549332270281045,0,19.43143312736695
4,15073.875,26983.125,38588.625,0,8479.125,3574.125,11061,0,103759.875,14.527653392026544,26.005356116706963,37.190315620561414,0,8.17187279764938,3.4446118983855754,10.660190174670122,0,22.276674870705076
5,16400.25,25221.9375,35125.875,0,5870.8125,4609.125,8655.75,0,95883.75,17.104305995541477,26.30470491610935,36.63381438460636,0,6.122844068989792,4.806992842895694,9.027337791857327,0,19.957174703742815
6,20898,10308.375,7748.4375,0,4915.125,12061.6875,8935.3125,0,64866.9375,32.216720575100375,15.891570339666492,11.945126128391678,0,7.57724225843096,18.594507409880418,13.774833288530077,0,39.94658295684146
7,27809.4375,13143.375,4295.8125,0,4686.1875,11695.5,6127.875,0,67758.1875,41.04218032691621,19.39747133879577,6.339916486107307,0,6.916046123577317,17.26064470068654,9.043741023916851,0,33.22043184818071
8,32917.5,35532,44830.6875,0,18733.5,9635.0625,28565.4375,0,170214.1875,19.338869740220684,20.874875662171227,26.33780894439249,0,11.005839334044937,5.660551944296652,16.782054374874008,0,33.4484456532156
9,42052.5,19130.625,6314.0625,0,4166.4375,14572.125,8801.4375,0,95037.1875,44.24846852712261,20.12962031310112,6.643780888402237,0,4.38400757598177,15.333076854783817,9.261045840608446,0,28.978130271374035
10,50591.8125,36838.6875,14393.25,0,13105.125,14841,28346.625,0,158116.5,31.996542106611265,23.298446082477163,9.102939920881123,0,8.288271622506189,9.386117198394855,17.927683069129408,0,35.60207189003045
11,46833.1875,20161.6875,5792.0625,0,6089.625,13945.5,6549.75,0,99371.8125,47.12924754190229,20.28914134981688,5.828677523618682,0,6.128121090676494,14.033657683359655,6.591154810626001,0,26.75293358466215
12,31790.8125,15351.75,6948.5625,0,10785.9375,7551,5652,0,78080.0625,40.715659647429206,19.66154932317069,8.899278865203266,0,13.813945781613585,9.670842668703038,7.2387237138802245,0,30.723512164196848
13,36084.9375,30534.1875,38152.6875,0,24363.5625,0,28277.4375,0,157412.8125,22.923761367900084,19.397523629151852,24.237345673497828,0,15.477496471260876,0,17.963872858189355,0,33.44136932945023
14,25857.5625,21424.5,36695.8125,0,8521.3125,0,11273.625,0,103772.8125,24.917472965281732,20.64558094153996,35.36168252161423,0,8.211507710653983,0,10.863755860910102,0,19.075263571564083
15,39397.5,36885.375,14554.6875,0,24091.875,8433,32387.625,0,155750.0625,25.29533495371792,23.682414252642754,9.344899941853955,0,15.468292348197293,5.414444055199015,20.794614448389066,0,41.67735085178537
16,26883,23659.3125,7346.25,0,11211.1875,1091.8125,6879.9375,0,77071.5,34.88059788637823,30.697874700764878,9.531733520172827,0,14.546476323932971,1.4166228761604485,8.926694692590646,0,24.889793892684068
17,41761.6875,40429.125,56545.3125,0,18429.75,0,31731.75,0,188897.625,22.10810617655992,21.402664538529798,29.93436921189454,0,9.75647523360868,0,16.79838483940706,0,26.55486007301574
18,33698.8125,31407.1875,9576,0,11779.3125,10663.3125,10070.4375,61.3125,107256.375,31.41893663663349,29.282350349804382,8.92814063499722,0,10.982389158686372,9.941891565885944,9.389127219710716,0.057164434281878354,30.330746343843963
19,32583.375,31330.125,13355.4375,0,11250,9147.9375,10481.0625,210.375,108358.3125,30.07002808390911,28.913448610599207,12.325254234648588,0,10.382221483930918,8.442303399658426,9.672596645504239,0.19414754174950816,28.552555613924675
20,61577.4375,59786.4375,36129.375,0,22316.0625,0,34049.8125,0,213859.125,28.793458076666123,27.955990888862004,16.89400674392547,0,10.434935848540482,0,15.921608442005924,0,26.356544290546406
21,41427.5625,43468.875,24240.375,0,20997.5625,0,22037.0625,0,152171.4375,27.224269666244034,28.565725417425984,15.929648426959231,0,13.798622688308376,0,14.481733801062372,0,28.280356489370746
22,48044.25,36971.4375,11401.875,0,17125.3125,15389.4375,13604.0625,0,142536.375,33.70665908965343,25.938247342125827,7.999273869564874,0,12.014696248589175,10.796849225329323,9.54427422473737,0,32.35581969865587
23,65131.3125,56543.0625,25502.0625,0,14352.1875,0,27955.125,0,189483.75,34.37303330760553,29.840586593837205,13.458706881196935,0,7.574363236953037,0,14.753309980407291,0,22.327673217360328
24,29549.8125,31586.625,31750.875,0,19440.5625,6897.9375,19433.8125,8188.875,146848.5,20.122651916771368,21.509668127355745,21.621518095179727,0,13.238516225906292,4.6973156007722245,13.233919651886128,5.57641038212852,33.01055552400347
25,54618.75,41267.25,16994.8125,0,18462.9375,18042.75,19994.0625,0,169380.5625,32.246173465151884,24.3636279103749,10.033508124640925,0,10.900269326948303,10.652196293184467,11.804224879699522,0,33.35669049983229
26,84472.3125,43045.3125,16148.25,0,13944.9375,15753.375,15328.6875,0,188692.875,44.76709176220883,22.812367716587072,8.55795429477663,0,7.390283019430384,8.348685661819506,8.12361754517758,0,23.862586226427467
27,34403.625,31263.75,23283.5625,0,19193.0625,12162.9375,17953.3125,3447.5625,141707.8125,24.277860474347523,22.06212166319341,16.430683735238663,0,13.544110350302669,8.583110052595018,12.66924679964275,2.4328669246799643,35.66412797604517
28,30990.9375,15251.625,26988.75,0,19829.25,0,13932.5625,10246.5,117239.625,26.43384222697744,13.00893362632301,23.020160632550642,0,16.913436903265428,0,11.883834070605396,8.739792540278083,31.555123284790493
29,31033.6875,27738,29099.25,0,3414.9375,0,10723.5,0,102009.375,30.4223876481941,27.191618417424866,28.52605459057072,0,3.347670250896057,0,10.512269092914254,0,13.859939343810312
