WUICLASS_SHORT,Destroyed,Survived,Total_build,Prop_build,Prop_all_loss,Dest_rate
WUI_Interface,605,6050,6655,61.04944500504541,46.46697388632873,9.090909090909092
WUI_Intermix,415,2613,3028,27.777268140537565,31.87403993855607,13.705416116248347
NonWUI_Veg,222,586,808,7.41216402164939,17.050691244239633,27.475247524752476
NonWUI_noVeg,60,350,410,3.761122832767636,4.6082949308755765,14.634146341463413
Total,1302,9599,10901,100,100.00000000000001,64.90571907337333
