OBJECTID,IN_FID,Near_exp_dist,Near_exp_rank,Near_dest,Near_dst_rank
162,73,198.1291322,2,98.19141555,2
163,74,132.3563514,1,0,1
164,74,184.561486,2,132.3563514,2
165,75,73.70168329,1,0,1
166,75,360.6532364,2,25.20032972,2
167,76,224.7406222,1,0,1
168,76,419.4331513,2,63.61651856,2
169,77,0,1,0,1
170,77,245.6230081,2,27.51799217,2
171,78,368.3609465,1,0,1
172,78,390.142244,2,111.461347,2
173,79,100.9945349,1,0,1
174,79,314.6699691,2,33.51547966,2
175,80,320.2727499,1,0,1
176,80,320.2727499,1,68.23536125,2
177,81,298.3555663,1,0,1
178,81,310.2072578,2,40.33393475,2
179,82,275.518721,1,0,1
180,82,332.3287965,2,33.48505207,2
181,83,27.51799217,1,0,1
182,83,148.7027835,2,24.39252148,2
183,84,250.4749095,1,0,1
184,84,280.4104019,2,87.23276499,2
185,85,0,1,0,1
186,85,82.52920371,2,82.52920371,2
187,86,100.8884051,1,0,1
188,86,100.8884051,1,1.960905803,2
189,87,211.2191641,1,0,1
190,87,290.015007,2,31.75807076,2
191,88,258.7916253,1,0,1
192,88,258.7916253,1,26.21841967,2
193,89,236.2730418,1,0,1
194,89,321.1131754,2,3.653170646,2
195,90,170.8086916,1,0,1
196,90,284.219089,2,47.29870107,2
197,91,222.410567,1,0,1
198,91,236.0380367,2,2.05573009,2
199,92,216.1749917,1,0,1
200,92,216.1749917,1,41.7192349,2
201,93,219.5984995,1,0,1
202,93,294.5947629,2,3.653170646,2
203,94,198.8883973,1,0,1
204,94,212.3313355,2,2.05573009,2
205,95,178.9725645,1,0,1
206,95,213.5939438,2,72.72017797,2
207,96,18.14169213,1,0,1
208,96,18.14169213,1,1.960905803,2
209,97,144.6186238,1,0,1
210,97,230.0234872,2,33.88377849,2
211,98,0,1,0,1
212,98,18.34772275,2,18.34772275,2
213,99,115.4439007,1,0,1
214,99,245.2586073,2,15.64739075,2
215,100,144.0037537,1,0,1
216,100,204.855575,2,15.64739075,2
217,101,109.7682396,1,0,1
218,101,131.0531661,2,28.75851228,2
219,102,0,1,0,1
220,102,18.34772275,2,18.34772275,2
221,103,112.5483079,1,0,1
