OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
198,40,3,115.2409297,3,40
199,40,4,213.5320883,4,40
200,40,6,582.4700866,5,40
201,41,1,69.8257308,1,41
202,41,3,131.1701197,2,41
203,41,2,153.5001996,3,41
204,41,4,206.2804486,4,41
205,41,6,559.963652,5,41
206,42,2,229.111222,1,42
207,42,1,350.8544205,2,42
208,42,3,414.5510835,3,42
209,42,4,524.0053724,4,42
210,42,14,821.9337503,5,42
211,43,5,589.735346,1,43
212,43,11,785.6288748,2,43
213,43,18,801.8606184,3,43
214,43,17,843.6395701,4,43
215,43,8,879.2466277,5,43
216,44,2,0,1,44
217,44,1,19.44696511,2,44
218,44,3,130.5126968,3,44
219,44,4,245.6428305,4,44
220,44,6,621.5728761,5,44
221,45,5,529.0919225,1,45
222,45,11,788.0227793,2,45
223,45,18,790.4698149,3,45
224,45,8,819.3819977,4,45
225,45,9,819.3819977,4,45
226,46,5,631.7672418,1,46
227,46,11,740.9313191,2,46
228,46,18,772.6785807,3,46
229,46,17,804.0900966,4,46
230,46,22,864.7356711,5,46
231,47,11,725.9206898,1,47
232,47,5,766.8179293,2,47
233,47,18,792.3674655,3,47
234,47,17,800.0807325,4,47
235,47,20,835.6731088,5,47
236,48,2,44.21206351,1,48
237,48,1,95.84101561,2,48
238,48,3,113.2222465,3,48
239,48,4,228.3041229,4,48
240,48,6,592.8334748,5,48
241,49,5,527.2150883,1,49
242,49,11,721.5711153,2,49
243,49,18,730.257651,3,49
244,49,17,776.8665575,4,49
245,49,8,807.3218459,5,49
246,50,2,218.0370825,1,50
247,50,1,326.0447635,2,50
248,50,3,345.6871144,3,50
249,50,4,450.6511848,4,50
250,50,14,728.3931408,5,50
251,51,3,7.407894499,1,51
252,51,4,66.24234245,2,51
253,51,1,134.4482775,3,51
254,51,2,161.0226023,4,51
255,51,6,434.5087209,5,51
256,52,5,403.4697393,1,52
257,52,18,684.214784,2,52
258,52,11,693.9020466,3,52
259,52,8,695.285373,4,52
260,52,9,695.285373,4,52
261,53,2,271.488364,1,53
262,53,1,389.8330286,2,53
263,53,3,426.4464909,3,53
264,53,4,531.7222438,4,53
265,53,14,668.8286249,5,53
266,54,2,193.4028424,1,54
267,54,3,240.7519445,2,54
268,54,1,274.3092448,3,54
269,54,4,339.8570337,4,54
270,54,6,636.731185,5,54
271,55,4,118.8130851,1,55
272,55,3,168.8035562,2,55
273,55,1,260.3162832,3,55
274,55,2,310.2694944,4,55
275,55,6,357.8036244,5,55
276,56,3,0,1,56
277,56,4,48.12080932,2,56
278,56,1,127.8368868,3,56
279,56,2,130.5126968,4,56
280,56,6,416.7835169,5,56
281,57,2,490.3494279,1,57
282,57,3,577.8961484,2,57
283,57,1,596.4115888,3,57
284,57,14,614.9491663,4,57
285,57,15,614.9491663,4,57
