OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,Buildings_ParcelID_DINS_ID_Build
29040,5808,1417,11987.5748,4,5749
29041,5809,1214,0,1,5750
29042,5809,1223,249.9648016,2,5750
29043,5809,1224,249.9648016,2,5750
29044,5809,1206,305.5909467,3,5750
29045,5809,1201,355.4450574,4,5750
29046,5810,1205,310.7538107,1,5751
29047,5810,1202,380.3068457,2,5751
29048,5810,1197,444.240244,3,5751
29049,5810,1191,517.9218304,4,5751
29050,5810,1192,632.3490769,5,5751
29051,5811,1188,611.0567393,1,5752
29052,5811,1229,696.3627244,2,5752
29053,5811,1222,804.9531382,3,5752
29054,5811,1228,935.5642114,4,5752
29055,5811,1230,1141.740458,5,5752
29056,5812,1204,643.2449573,1,5753
29057,5812,1240,798.9410629,2,5753
29058,5812,1234,819.1403064,3,5753
29059,5812,1196,831.3495637,4,5753
29060,5812,1241,1078.358821,5,5753
29061,5813,1204,602.3174744,1,5754
29062,5813,1240,785.7912316,2,5754
29063,5813,1234,787.1132575,3,5754
29064,5813,1196,789.4765848,4,5754
29065,5813,1241,1042.674014,5,5754
29066,5814,1188,573.7261122,1,5755
29067,5814,1229,607.5022101,2,5755
29068,5814,1222,699.0282524,3,5755
29069,5814,1228,832.5918482,4,5755
29070,5814,1230,1039.096678,5,5755
29071,5815,1215,0,1,5756
29072,5815,1225,235.1914728,2,5756
29073,5815,1212,323.1785062,3,5756
29074,5815,1210,447.1815781,4,5756
29075,5815,1232,592.5656723,5,5756
29076,5816,1204,350.1710068,1,5757
29077,5816,1196,459.6285694,2,5757
29078,5816,1192,658.9183132,3,5757
29079,5816,1187,682.0355604,4,5757
29080,5816,1234,691.5379274,5,5757
29081,5817,1204,375.8203331,1,5758
29082,5817,1196,470.1600851,2,5758
29083,5817,1192,650.870528,3,5758
29084,5817,1187,683.9833018,4,5758
29085,5817,1234,697.6768135,5,5758
29086,5818,1188,691.456145,1,5759
29087,5818,1229,784.6314799,2,5759
29088,5818,1222,924.5181978,3,5759
29089,5818,1228,1043.300607,4,5759
29090,5818,1255,1193.750403,5,5759
29091,5819,1204,384.3269721,1,5760
29092,5819,1196,452.2500466,2,5760
29093,5819,1192,586.0261338,3,5760
29094,5819,1187,641.2934734,4,5760
29095,5819,1205,655.1289365,5,5760
29096,5820,1205,287.309276,1,5761
29097,5820,1202,347.7856087,2,5761
29098,5820,1197,415.288897,3,5761
29099,5820,1191,480.660317,4,5761
29100,5820,1192,631.5995843,5,5761
29101,5821,1194,515.2885429,1,5762
29102,5821,1195,515.2885429,1,5762
29103,5821,1227,520.3472749,2,5762
29104,5821,1214,529.4682425,3,5762
29105,5821,1223,531.9163955,4,5762
29106,5822,1205,322.7311002,1,5763
29107,5822,1202,395.7467371,2,5763
29108,5822,1197,458.4034602,3,5763
29109,5822,1191,533.3865954,4,5763
29110,5822,1192,634.8938893,5,5763
29111,5823,1204,831.9649617,1,5764
29112,5823,1240,837.8198417,2,5764
29113,5823,1234,921.9740763,3,5764
29114,5823,1196,1020.263727,4,5764
29115,5823,1188,1117.336188,5,5764
29116,5824,1216,0,1,5765
29117,5824,1217,0,1,5765
29118,5824,1221,317.3303314,2,5765
29119,5824,1198,433.6516879,3,5765
29120,5824,1213,456.2184477,4,5765
29121,5825,1216,0,1,5765
29122,5825,1217,0,1,5765
29123,5825,1221,317.3303314,2,5765
29124,5825,1198,433.6516879,3,5765
29125,5825,1213,456.2184477,4,5765
29126,5826,1204,406.4386769,1,5766
29127,5826,1196,455.9388379,2,5766
29128,5826,1192,567.9770675,3,5766
29129,5826,1205,615.8946176,4,5766
29130,5826,1187,636.2411268,5,5766
29131,5827,1204,706.6632015,1,5767
29132,5827,1240,765.9070386,2,5767
29133,5827,1234,806.1862668,3,5767
29134,5827,1196,894.3794928,4,5767
29135,5827,1241,1069.225639,5,5767
29136,5828,1188,884.4714741,1,5768
29137,5828,1240,969.6668194,2,5768
29138,5828,1229,1060.624044,3,5768
29139,5828,1204,1064.173596,4,5768
29140,5828,1234,1107.843926,5,5768
29141,5829,1205,523.5729921,1,5769
29142,5829,1202,559.7873594,2,5769
29143,5829,1227,603.3819758,3,5769
29144,5829,1194,633.3575452,4,5769
29145,5829,1195,633.3575452,4,5769
29146,5830,1188,701.4840159,1,5770
29147,5830,1229,800.7783853,2,5770
