x,y,ymin,ymax,iv
37.199208825826645,0,0,0,build_area
401.2786620259285,-0.012201310670262462,-0.017891537503529654,-0.006511083836995269,build_area
523.5855913031846,-0.01612228110240093,-0.023729517513871742,-0.008515044690930118,build_area
654.5498391166329,-0.02320316637410692,-0.03756483223867778,-0.008841500509536065,build_area
843.5860650837421,-0.29139318908818723,-0.331323449133336,-0.25146292904303846,build_area
1043.538676261902,-0.2747471668396359,-0.31519685423809357,-0.23429747944117824,build_area
1281.0147327333689,-0.2573300852436233,-0.29794373043753436,-0.2167164400497122,build_area
1568.9656273387368,-0.2319380372060034,-0.2731098023572533,-0.1907662720547535,build_area
1821.1551511585712,-0.22377338005492065,-0.26507659051126425,-0.182470169598577,build_area
2048.557425601408,-0.2102029834175873,-0.25172959999548045,-0.1686763668396942,build_area
2297.182634655386,-0.05379672545367873,-0.09622140889622369,-0.011372042011133773,build_area
2503.6552824750547,-0.17232846192051038,-0.21481352720220812,-0.12984339663881264,build_area
2767.570734209381,-0.16727772413403977,-0.20989325980626986,-0.12466218846180968,build_area
2979.962090574205,-0.18029409632548388,-0.2239473029837512,-0.13664088966721655,build_area
3215.4969962369646,-0.18463087204684836,-0.22883896419774966,-0.14042277989594706,build_area
3579.5987312681973,-0.1244554436020183,-0.16730812656920757,-0.081602760634829,build_area
3998.251090317965,-0.03181349133350016,-0.07468394771104164,0.011056965044041335,build_area
4598.25021827966,0.04765135080403033,0.005470996943379942,0.08983170466468071,build_area
5318.346332587302,0.1382910141267093,0.09531543401536724,0.18126659423805136,build_area
6581.434422727674,0.45599869373013086,0.4138898409678491,0.4981075464924126,build_area
115867.76868605614,1.0830733159679564,1.0303486404303086,1.1357979915056042,build_area
