x,y,ymin,ymax,iv
0,0,0,0,build_p_building_300
0.6342795830972721,-0.017081089477504308,-0.017422433387096,-0.016739745567912617,build_p_building_300
1.4238632535622626,-0.07235233543994803,-0.07337858589113194,-0.07132608498876411,build_p_building_300
2.265056593020046,-0.08633538779476654,-0.0875254337337315,-0.08514534185580158,build_p_building_300
3.0959617099492256,-0.11062658648350505,-0.112109579737072,-0.10914359322993811,build_p_building_300
4.038442080309907,-0.1326628846789979,-0.13444790744076257,-0.13087786191723322,build_p_building_300
4.9496695643543065,-0.14467483886771804,-0.1466462372263405,-0.14270344050909559,build_p_building_300
5.849196908784502,-0.16178857576123923,-0.16403241629362295,-0.1595447352288555,build_p_building_300
6.7289179217829815,-0.18017285864564342,-0.18272810495300593,-0.1776176123382809,build_p_building_300
7.738045299175369,-0.19821724168847799,-0.20108404841293728,-0.1953504349640187,build_p_building_300
8.769339725430376,-0.2437386958102937,-0.24769129679037233,-0.23978609483021507,build_p_building_300
9.90379442098832,-0.30735944470344645,-0.3136006372838345,-0.30111825212305837,build_p_building_300
11.1740208768801,-0.40220442843087567,-0.4165245790837577,-0.38788427777799367,build_p_building_300
12.865412516267185,-0.594686780577911,-0.6266695782919546,-0.5627039828638675,build_p_building_300
14.683176414764493,-0.6817827652069686,-0.7196799551912346,-0.6438855752227025,build_p_building_300
16.73301322827321,-0.7848646505452399,-0.8293603443018607,-0.7403689567886191,build_p_building_300
18.797267316612544,-0.7911607047950857,-0.8363424523430649,-0.7459789572471065,build_p_building_300
20.721678237338217,-0.7836230159477963,-0.8287339626057594,-0.7385120692898332,build_p_building_300
23.0942539479044,-0.7505436535297807,-0.7942109297815682,-0.7068763772779932,build_p_building_300
26.562362559395087,-0.6412830864537706,-0.6826748636877435,-0.5998913092197977,build_p_building_300
41.699116511932445,-0.13501641763633726,-0.13895434270571766,-0.13107849256695686,build_p_building_300
