x,y,ymin,ymax,iv
0,0,0,0,build_p_otherpaved_300
0.8706390328151986,-0.06842103813326539,-0.06988954717260484,-0.06695252909392593,build_p_otherpaved_300
1.77401346003476,-0.15805579561655553,-0.160664148128221,-0.15544744310489006,build_p_otherpaved_300
2.574072495176836,-0.2056703645437126,-0.20913548389085,-0.2022052451965752,build_p_otherpaved_300
3.3455747072531947,-0.2580644429925283,-0.2624502315118859,-0.2536786544731707,build_p_otherpaved_300
4.077009171963962,-0.4694344258400322,-0.493632640460935,-0.4452362112191294,build_p_otherpaved_300
4.754465559550305,-0.7367028248495098,-0.7800671504346385,-0.6933384992643811,build_p_otherpaved_300
5.425715086557841,-0.8258498285755886,-0.8727776824602499,-0.7789219746909274,build_p_otherpaved_300
6.050956562505635,-0.8692932123399566,-0.9180894122709088,-0.8204970124090044,build_p_otherpaved_300
6.662450054430788,-0.4714441791828649,-0.48214370291652764,-0.4607446554492022,build_p_otherpaved_300
7.284374062451855,-0.8857946244857844,-0.9342597432179734,-0.8373295057535953,build_p_otherpaved_300
7.86074406647182,-1.0736759905565143,-1.1284909867230708,-1.0188609943899578,build_p_otherpaved_300
8.493713797613646,-1.1888005494568803,-1.248440327629325,-1.1291607712844356,build_p_otherpaved_300
9.21091819403862,-1.1448719179282698,-1.2022080082412645,-1.0875358276152751,build_p_otherpaved_300
9.995587285077141,-1.225427329719697,-1.2855416626657394,-1.1653129967736544,build_p_otherpaved_300
10.8945663423088,-1.2749278778818034,-1.3368283051058936,-1.2130274506577132,build_p_otherpaved_300
11.952851366272055,-1.2007142159408235,-1.2584633646224401,-1.1429650672592069,build_p_otherpaved_300
13.358439377654529,-1.3916976461255264,-1.457383377217183,-1.3260119150338698,build_p_otherpaved_300
15.388694076995703,-1.5023422040791372,-1.5722734966380154,-1.432410911520259,build_p_otherpaved_300
20.55068717690077,-1.2405756046953935,-1.3007287483396404,-1.1804224610511467,build_p_otherpaved_300
59.89726454014524,-0.6144088116251519,-0.6382587478033922,-0.5905588754469117,build_p_otherpaved_300
