x,y,ymin,ymax,iv
0,0,0,0,build_Mean_distroad
48.881003126830045,-0.6070485349081295,-0.6562729657545875,-0.5578241040616715,build_Mean_distroad
84.58482030660971,-0.7331459415045978,-0.7868889608196291,-0.6794029221895664,build_Mean_distroad
120,-0.7567000964730537,-0.8108123944260685,-0.7025877985200389,build_Mean_distroad
161.55490112304688,-0.9613928019685319,-1.02379103309795,-0.8989945708391139,build_Mean_distroad
218.2965341411574,-0.9655582590816769,-1.0279956137353778,-0.9031209044279761,build_Mean_distroad
284.6050109863281,-0.9914234108814083,-1.0548726507291077,-0.9279741710337089,build_Mean_distroad
371.01188404407907,-1.0624933583004603,-1.128340774853537,-0.9966459417473837,build_Mean_distroad
451.75942027870093,-1.0436629130907298,-1.1092366350926945,-0.9780891910887649,build_Mean_distroad
523.1984391267808,-0.8846627788215017,-0.9463305574203182,-0.8229950002226851,build_Mean_distroad
602.99261474609375,-0.8291946549446191,-0.8891653340343006,-0.7692239758549375,build_Mean_distroad
692.60382080078125,-0.49446662269359076,-0.5407270817042082,-0.4482061636829733,build_Mean_distroad
812.6534736879102,-0.4788607375906413,-0.5252020923775284,-0.4325193828037542,build_Mean_distroad
952.1945399523054,-0.45721643821097424,-0.5035180844596077,-0.4109147919623409,build_Mean_distroad
1082.681635048924,-0.5815077619939529,-0.6330584467211634,-0.5299570772667425,build_Mean_distroad
1249.0747438215794,-0.5700796161561996,-0.6218386022885866,-0.5183206300238127,build_Mean_distroad
1425.8135068590539,-0.5399361859105744,-0.5912463874271855,-0.48862598439396326,build_Mean_distroad
1650.817771536751,-0.5849575129386223,-0.6382064489615381,-0.5317085769157065,build_Mean_distroad
1867.2440185546875,-0.032841420039748895,-0.05023293108674054,-0.015449908992757246,build_Mean_distroad
2332.719033179536,0.16879968525088182,0.163451931924688,0.17414743857707565,build_Mean_distroad
3666.898450349506,0.2832732211171225,0.27724846045710855,0.28929798177713645,build_Mean_distroad
