x,y,ymin,ymax,iv
0.119534432,0,0,0,build_near_dest
17.508381,-0.10778980625428597,-0.10975335457320672,-0.10582625793536522,build_near_dest
45.92915633,-0.24638082309736162,-0.2504782025339399,-0.24228344366078336,build_near_dest
80.97221549,-0.3466655069858836,-0.3515073080578867,-0.3418237059138805,build_near_dest
122.5337198,-0.5294285530311912,-0.5354777492674113,-0.523379356794971,build_near_dest
179.5550333,-1.0537723109594364,-1.0747126672776197,-1.032831954641253,build_near_dest
251.6286728,-1.1656903291585294,-1.1892445686404352,-1.1421360896766237,build_near_dest
340.73675499999996,-1.2706853750293519,-1.2989190623582358,-1.2424516877004679,build_near_dest
443.9914896,-1.4940429237456019,-1.5359468903070173,-1.4521389571841865,build_near_dest
571.7755056,-1.564633690810602,-1.6093439289189584,-1.5199234527022456,build_near_dest
696.3627244,-1.5718893061858983,-1.6167539208555928,-1.5270246915162038,build_near_dest
851.6331635000001,-1.6012787219347981,-1.6477829077388872,-1.554774536130709,build_near_dest
1018.965234,-1.6041080414981013,-1.6506090096244361,-1.5576070733717664,build_near_dest
1172.340521,-1.6106869394659584,-1.6574407913052476,-1.5639330876266693,build_near_dest
1365.3241449999996,-1.6118211707220502,-1.6585665790243467,-1.5650757624197538,build_near_dest
1634.81016,-1.6130017367657454,-1.6597384787787646,-1.5662649947527263,build_near_dest
2107.743055,-1.613200441747227,-1.6599352959714047,-1.5664655875230493,build_near_dest
2612.241916,-1.6101497350804288,-1.6567095701987606,-1.563589899962097,build_near_dest
3276.956937,-1.6070490896296479,-1.6535127403674377,-1.560585438891858,build_near_dest
4267.496914,-1.587638196828211,-1.6331920177378814,-1.5420843759185405,build_near_dest
13062.64179,-1.5567354238412054,-1.600868794346511,-1.5126020533359,build_near_dest
