x,y,ymin,ymax,iv
12.074819497637169,0,0,0,build_Mean_elev_30m
61.844431470012104,-0.07479980202842189,-0.08058626364336932,-0.06901334041347446,build_Mean_elev_30m
111.04185226985386,-0.10888470709608081,-0.11779139711535391,-0.0999780170768077,build_Mean_elev_30m
155.72761130945932,-0.11867699600964841,-0.12727196247886563,-0.11008202954043121,build_Mean_elev_30m
207.18861627006987,-0.08556146555008583,-0.09167983023408831,-0.07944310086608335,build_Mean_elev_30m
261.4974280712651,-0.008557684306775455,-0.010652980813287916,-0.006462387800262996,build_Mean_elev_30m
387.1744392780942,-0.0593871572690003,-0.06248167666024772,-0.05629263787775288,build_Mean_elev_30m
706.9410267635111,-1.1275802564764439,-1.1919032193273102,-1.0632572936255775,build_Mean_elev_30m
735.0600763788286,-1.1930117786534935,-1.2595987417182302,-1.1264248155887568,build_Mean_elev_30m
760.7837689019615,-1.2424975139472274,-1.3104284065847411,-1.1745666213097137,build_Mean_elev_30m
794.5540855647203,-1.2949548183504969,-1.3639182449777674,-1.2259913917232264,build_Mean_elev_30m
818.1815002612373,-1.1248943043171613,-1.1871838963592756,-1.062604712275047,build_Mean_elev_30m
839.1783210298689,-1.1281432192550014,-1.1904544054988029,-1.0658320330111999,build_Mean_elev_30m
859.0231821160568,-0.957116835786265,-1.0114351528013277,-0.9027985187712024,build_Mean_elev_30m
889.597302580533,-0.9136862287580818,-0.9667006780722737,-0.86067177944389,build_Mean_elev_30m
932.347750376506,-0.856672073292635,-0.9080114397332764,-0.8053327068519935,build_Mean_elev_30m
1027.351294918801,-0.842128184019143,-0.8936948225915395,-0.7905615454467465,build_Mean_elev_30m
1120.3534324394286,-0.7971991068800389,-0.8477872014551009,-0.746611012304977,build_Mean_elev_30m
1220.067236122965,-0.15192071163303275,-0.1605975725919243,-0.1432438506741412,build_Mean_elev_30m
1673.1438010057916,-0.006987280243311844,-0.012066086764945264,-0.0019084737216784253,build_Mean_elev_30m
2817.769025977278,0.15674002198146783,0.15117966414204842,0.16230037982088724,build_Mean_elev_30m
