inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
3736;161;Level 3;Buildings;undefined;0;11134
503;293;Level 3;Buildings;undefined;0;11120
623;824;Level 3;Buildings;undefined;0;11030
629;1067;Level 3;Buildings;undefined;0;10985
659;1062;Level 3;Buildings;undefined;0;10987
1099;957;Level 3;Buildings;undefined;0;11004
1064;1127;Level 3;Buildings;11.7862436837013;0.0689001264222503;10973
880;1281;Level 3;Buildings;31.2621179445825;0.133964817320704;10951
950;1506;Level 3;Buildings;undefined;0;10902
731;1849;Level 3;Buildings;undefined;0;10815
847;1906;Level 3;Buildings;7.32000732421875;0.00114111829593001;10797
847;1937;Level 3;Buildings;undefined;0;10787
717;1939;Level 3;Buildings;undefined;0;10786
870;2486;Level 3;Buildings;undefined;0;10625
9595;918;Level 3;Buildings;undefined;0;11026
2164;1682;Level 3;Buildings;undefined;0;10856
2195;1736;Level 3;Buildings;undefined;0;10843
3610;1697;Level 3;Buildings;undefined;0;10855
9702;1784;Level 3;Buildings;undefined;0;10834
1979;1953;Level 3;Buildings;9.3800048828125;0.00109649122807018;10785
2009;2002;Level 3;Buildings;undefined;0;10767
1742;2153;Level 3;Buildings;undefined;0;10726
1621;2423;Level 3;Buildings;undefined;0;10643
2715;2840;Level 3;Buildings;11.3895389517558;0.0785743215876873;10516
2447;3222;Level 3;Buildings;undefined;0;10392
2558;3270;Level 3;Buildings;undefined;0;10377
2521;3378;Level 3;Buildings;undefined;0;10345
1092;2859;Level 3;Buildings;undefined;0;10509
712;2966;Level 3;Buildings;undefined;0;10476
952;3643;Level 3;Buildings;23.2682040146306;0.3765664160401;10279
525;3181;Level 3;Buildings;undefined;0;10408
9201;3473;Level 3;Buildings;25.9504186751995;0.00468174120928379;10316
569;3610;Level 3;Buildings;undefined;0;10290
9721;5642;Level 3;Buildings;19.6460639058395;0.34085482330468;9830
3604;4211;Level 3;Buildings;undefined;0;10143
3784;4710;Level 3;Buildings;undefined;0;10018
11878;5265;Level 3;Buildings;9.18312766335227;0.521052631578947;9897
9797;5739;Level 3;Buildings;undefined;0;9798
1990;6141;Level 3;Buildings;21.1658103942871;0.0246381275023098;9738
3835;6942;Level 3;Buildings;undefined;0;9659
3434;7620;Level 3;Buildings;undefined;0;9617
12941;7912;Level 3;Buildings;undefined;0;9613
2754;7015;Level 3;Buildings;undefined;0;9655
526;225;Level 3;Buildings;undefined;0;11128
1162;977;Level 3;Buildings;undefined;0;11001
1164;1076;Level 3;Buildings;13.7241309532752;0.506329113924051;10984
13863;453;Level 3;Buildings;undefined;0;11095
13437;469;Level 3;Buildings;undefined;0;11092
9334;688;Level 3;Buildings;undefined;0;11044
8458;941;Level 3;Buildings;14.107958984375;0.000921489126428308;11007
1093;1245;Level 3;Buildings;11.9511269173971;0.0654116145500957;10959
935;1788;Level 3;Buildings;6.23717389787946;0.00816167897396036;10830
3758;2279;Level 3;Buildings;17.6774076021635;0.0115596656589009;10689
1963;2574;Level 3;Buildings;10.4896199122612;0.125678315606685;10596
1946;2703;Level 3;Buildings;52.6484429056902;0.176771989752348;10557
6761;2943;Level 3;Buildings;11.562864923276;0.0477629987908102;10488
8359;3065;Level 3;Buildings;12.1195169662539;0.121410579345088;10442
1898;3492;Level 3;Buildings;22.7132351003962;0.0530028598665396;10314
3778;3867;Level 3;Buildings;undefined;0;10229
3848;4186;Level 3;Buildings;undefined;0;10152
9284;4587;Level 3;Buildings;12.0369435780084;0.94811320754717;10045
8911;5085;Level 3;Buildings;14.1230959444502;0.95141065830721;9930
7934;5365;Level 3;Buildings;undefined;0;9871
7183;5440;Level 3;Buildings;undefined;0;9850
2478;7067;Level 3;Buildings;39.6622401646205;0.00861614207842448;9649
3665;7367;Level 3;Buildings;undefined;0;9628
624;1998;Level 3;Buildings;20.8617883376133;0.197802197802198;10768
2926;3002;Level 3;Buildings;undefined;0;10461
812;2987;Level 3;Buildings;undefined;0;10468
3779;3759;Level 3;Buildings;undefined;0;10251
9647;4050;Level 3;Buildings;undefined;0;10183
3749;4196;Level 3;Buildings;undefined;0;10147
9218;5844;Level 3;Buildings;undefined;0;9782
3608;7348;Level 3;Buildings;undefined;0;9631
3436;170;Level 3;Buildings;undefined;0;11131
382;169;Level 3;Buildings;undefined;0;11132
492;328;Level 3;Buildings;undefined;0;11117
415;332;Level 3;Buildings;undefined;0;11116
468;386;Level 3;Buildings;undefined;0;11110
13344;401;Level 3;Buildings;undefined;0;11107
13231;414;Level 3;Buildings;undefined;0;11104
7361;520;Level 3;Buildings;undefined;0;11074
640;434;Level 3;Buildings;undefined;0;11099
3621;490;Level 3;Buildings;undefined;0;11087
3249;514;Level 3;Buildings;undefined;0;11078
8942;728;Level 3;Buildings;undefined;0;11037
8416;640;Level 3;Buildings;22.6922669049606;0.0498258513931889;11056
7209;653;Level 3;Buildings;undefined;0;11053
3433;682;Level 3;Buildings;undefined;0;11046
9826;1044;Level 3;Buildings;undefined;0;10990
9766;1098;Level 3;Buildings;undefined;0;11026
1114;880;Level 3;Buildings;undefined;0;11016
9413;787;Level 3;Buildings;undefined;0;11033
626;892;Level 3;Buildings;undefined;0;11013
596;897;Level 3;Buildings;undefined;0;11012
502;860;Level 3;Buildings;undefined;0;11021
7060;993;Level 3;Buildings;undefined;0;10999
8857;994;Level 3;Buildings;undefined;0;10998
1092;1030;Level 3;Buildings;undefined;0;10993
3052;1094;Level 3;Buildings;undefined;0;10980
3226;1125;Level 3;Buildings;undefined;0;10974
1042;1200;Level 3;Buildings;undefined;0;10965
8951;1325;Level 3;Buildings;undefined;0;10944
1845;1336;Level 3;Buildings;undefined;0;10941
3624;1391;Level 3;Buildings;undefined;0;10926
6625;1572;Level 3;Buildings;11.8707675127916;0.109021113243762;10887
1760;1383;Level 3;Buildings;undefined;0;10927
3574;1459;Level 3;Buildings;undefined;0;10913
8594;1417;Level 3;Buildings;32.499098432283;0.0673639226270805;10921
2550;1510;Level 3;Buildings;undefined;0;10900
1666;1457;Level 3;Buildings;undefined;0;10914
3827;1500;Level 3;Buildings;undefined;0;10904
1764;1566;Level 3;Buildings;undefined;0;10888
2220;1649;Level 3;Buildings;undefined;0;10866
5960;1658;Level 3;Buildings;undefined;0;10862
914;1619;Level 3;Buildings;undefined;0;10872
8877;1627;Level 3;Buildings;undefined;0;10870
2230;1793;Level 3;Buildings;undefined;0;10828
872;1776;Level 3;Buildings;undefined;0;10835
1552;1733;Level 3;Buildings;undefined;0;10846
2282;1755;Level 3;Buildings;undefined;0;10838
1944;1895;Level 3;Buildings;undefined;0;10801
9759;1878;Level 3;Buildings;undefined;0;10805
716;1907;Level 3;Buildings;undefined;0;10796
1445;1867;Level 3;Buildings;undefined;0;10808
6376;1816;Level 3;Buildings;undefined;0;10823
5536;2012;Level 3;Buildings;undefined;0;10763
2026;2034;Level 3;Buildings;undefined;0;10757
1395;1936;Level 3;Buildings;undefined;0;10789
1729;2024;Level 3;Buildings;undefined;0;10760
1766;2075;Level 3;Buildings;undefined;0;10746
1664;2130;Level 3;Buildings;undefined;0;10729
5946;2016;Level 3;Buildings;undefined;0;10761
5665;1996;Level 3;Buildings;undefined;0;10772
