inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
10212;599;Level 3;Buildings;undefined;0;9425
9978;1076;Level 3;Buildings;21.7411702791354;0.956716417910448;9371
11752;1663;Level 3;Buildings;undefined;0;9295
10246;1773;Level 3;Buildings;undefined;0;9277
10450;591;Level 3;Buildings;12.1560557972301;0.0182219768083932;9426
10428;733;Level 3;Buildings;24.9264262806285;0.0979020979020979;9409
10202;983;Level 3;Buildings;9.83857945033482;0.0103168754605748;9387
10270;818;Level 3;Buildings;undefined;0;9402
8145;1034;Level 3;Buildings;undefined;0;9380
9745;1075;Level 3;Buildings;undefined;0;9372
8232;1093;Level 3;Buildings;undefined;0;9369
