inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
5616;261;Level 3;Buildings;undefined;0;11108
5640;294;Level 3;Buildings;undefined;0;11101
5841;298;Level 3;Buildings;undefined;0;11100
5865;362;Level 3;Buildings;undefined;0;11084
5918;412;Level 3;Buildings;undefined;0;11071
5905;419;Level 3;Buildings;undefined;0;11069
2285;1153;Level 3;Buildings;undefined;0;10949
6759;3149;Level 3;Buildings;23.8225586803247;0.181233933161954;10375
5563;4096;Level 3;Buildings;undefined;0;10138
4462;5742;Level 3;Buildings;undefined;0;9775
2450;391;Level 3;Buildings;undefined;0;11073
6989;2244;Level 3;Buildings;10.3009283694229;0.525037936267071;10658
7656;2972;Level 3;Buildings;undefined;0;10434
7615;2985;Level 3;Buildings;undefined;0;10430
4480;4627;Level 3;Buildings;25.3579273865873;0.151829871414441;10008
5122;4045;Level 3;Buildings;undefined;0;10156
4390;4402;Level 3;Buildings;undefined;0;10059
6947;1050;Level 3;Buildings;undefined;0;10967
7240;2824;Level 3;Buildings;undefined;0;10483
5443;4598;Level 3;Buildings;7.64611348902926;0.190129449838188;10015
2287;7189;Level 3;Buildings;undefined;0;9633
6135;119;Level 3;Buildings;undefined;0;11127
5875;342;Level 3;Buildings;undefined;0;11091
5883;355;Level 3;Buildings;undefined;0;11089
5890;364;Level 3;Buildings;undefined;0;undefined
5887;387;Level 3;Buildings;undefined;0;11076
5804;797;Level 3;Buildings;undefined;0;11008
5861;962;Level 3;Buildings;undefined;0;10981
2610;1430;Level 3;Buildings;undefined;0;10889
6861;1663;Level 3;Buildings;undefined;0;10827
7760;2317;Level 3;Buildings;undefined;0;10634
7452;2592;Level 3;Buildings;undefined;0;10550
7485;2622;Level 3;Buildings;undefined;0;10544
6560;2862;Level 3;Buildings;undefined;0;10465
6586;3220;Level 3;Buildings;undefined;0;10351
5528;3524;Level 3;Buildings;undefined;0;10276
5833;3493;Level 3;Buildings;undefined;0;10283
5347;3887;Level 3;Buildings;undefined;0;10193
5085;4114;Level 3;Buildings;undefined;0;10131
5370;4226;Level 3;Buildings;undefined;0;10104
5283;4178;Level 3;Buildings;undefined;0;10114
4115;4852;Level 3;Buildings;undefined;0;9955
3236;5367;Level 3;Buildings;19.3900240646419;0.893687707641196;9844
3193;6480;Level 3;Buildings;undefined;0;9687
2369;7106;Level 3;Buildings;undefined;0;9637
6185;1906;Level 3;Buildings;11.8458404541016;0.00603925515853045;10755
6566;2082;Level 3;Buildings;11.1010206572864;0.00674838176559703;10710
6673;2572;Level 3;Buildings;32.6505953410025;0.0538243626062323;10558
5798;329;Level 3;Buildings;17.1400146484375;0.00924702774108322;11094
3056;714;Level 3;Buildings;28.6152827361894;0.0654857756307032;11025
2693;1379;Level 3;Buildings;15.8282063802083;0.0128055878928987;10901
6487;1876;Level 3;Buildings;31.8679573474436;0.078076062639821;10765
7632;1986;Level 3;Buildings;28.8014170887706;0.00747187782248132;10733
7094;2269;Level 3;Buildings;17.3335991936761;0.0187793427230047;10651
7731;2263;Level 3;Buildings;21.194950924644;0.0105067163186594;10652
7653;2379;Level 3;Buildings;23.3739670973558;0.0558339298496779;10618
7357;2577;Level 3;Buildings;21.7015843441612;0.0619699934768428;10555
6255;3112;Level 3;Buildings;18.9519812319459;0.0137239072771307;10383
6500;3163;Level 3;Buildings;35.1846748169917;0.350209010682768;10365
5550;3796;Level 3;Buildings;59.1572554873026;0.173205568613271;10222
6894;3011;Level 3;Buildings;23.1947565252131;0.0057609720330994;10419
5608;3449;Level 3;Buildings;42.0490348163256;0.120619106920477;10295
5714;3637;Level 3;Buildings;16.0999961853027;0.0204760685948298;10248
5478;3897;Level 3;Buildings;20.553430776127;0.0341928251121076;undefined
5515;4129;Level 3;Buildings;10.747216796875;0.0512295081967213;10129
5050;4194;Level 3;Buildings;14.0260956277918;1;10111
5186;4356;Level 3;Buildings;31.7637489720395;0.0948048136190197;10073
5295;4448;Level 3;Buildings;28.3229282924107;0.126845637583893;10050
5064;4776;Level 3;Buildings;21.7772034219523;0.140622284025726;9972
5089;5055;Level 3;Buildings;30.9203573198461;0.0170245203913099;9913
5392;3894;Level 3;Buildings;33.4324439264113;0.0763546798029557;10191
