inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
20936;1067;Level 3;Buildings;undefined;0;9342
11142;3237;Level 3;Buildings;26.8083945037313;0.574273858921162;9006
7754;3443;Level 3;Buildings;undefined;0;8953
8435;4347;Level 3;Buildings;undefined;0;8704
20265;640;Level 3;Buildings;undefined;0;9393
20249;645;Level 3;Buildings;undefined;0;9393
20245;646;Level 3;Buildings;undefined;0;9393
20242;647;Level 3;Buildings;undefined;0;9393
20240;648;Level 3;Buildings;undefined;0;9393
9485;2881;Level 3;Buildings;40.053374377711;0.981424148606811;9062
7812;3389;Level 3;Buildings;undefined;0;8968
7753;3445;Level 3;Buildings;undefined;0;8953
14444;3693;Level 3;Buildings;undefined;0;8894
9096;3691;Level 3;Buildings;32.3215889930725;0.0504466631634262;8895
11600;4945;Level 3;Buildings;15.5918071131552;0.00621740874448456;8424
14469;5781;Level 3;Buildings;36.3834067864916;0.999751984126984;8107
14536;5789;Level 3;Buildings;39.3509166346187;0.980477223427332;8103
13908;5831;Level 3;Buildings;32.3109262864061;0.700507614213198;8079
14244;5877;Level 3;Buildings;33.8613399915354;0.660979636763896;8056
14768;5832;Level 3;Buildings;35.663607504823;0.998600909408884;8078
14685;5917;Level 3;Buildings;34.0589267215213;0.990187332738626;8014
14034;5898;Level 3;Buildings;31.3392927401959;0.88771186440678;8030
15179;5916;Level 3;Buildings;37.1755586121213;0.868250539956803;8016
14462;5884;Level 3;Buildings;34.3501617836328;0.983941117430579;8052
14747;5976;Level 3;Buildings;31.6933144542658;0.879753340184995;7981
15193;6033;Level 3;Buildings;30.8548949217848;0.666324646008619;7941
11470;6037;Level 3;Buildings;26.1688028276272;0.807671081677704;7952
11625;6047;Level 3;Buildings;10.9642627723589;0.107643312101911;7928
13872;6014;Level 3;Buildings;33.508093423134;0.994411571334648;7957
14902;6053;Level 3;Buildings;32.2592851831279;0.677683246073298;7923
14336;6010;Level 3;Buildings;27.2868260579372;0.552297347777363;7960
12217;6073;Level 3;Buildings;21.3932754376613;0.426114151681001;7897
14666;6164;Level 3;Buildings;19.1202491451275;0.567137809187279;7840
12405;6163;Level 3;Buildings;37.7049765797843;0.980477223427332;7841
14758;6421;Level 3;Buildings;18.9317702512466;0.978465679676985;7690
16037;4371;Level 3;Buildings;undefined;0;8683
14312;3662;Level 3;Buildings;11.9847523198467;0.965656565656566;8900
