inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
8366;1372;Level 3;Buildings;undefined;0;5260
9446;1579;Level 3;Buildings;undefined;0;5225
9463;1646;Level 3;Buildings;undefined;0;5208
9741;1643;Level 3;Buildings;undefined;0;5210
9866;3516;Level 3;Buildings;undefined;0;4992
9369;3563;Level 3;Buildings;40.6139029030693;0.950792782941498;4990
9746;1791;Level 3;Buildings;undefined;0;5181
9714;4057;Level 3;Buildings;undefined;0;4969
10425;318;Level 3;Buildings;23.4214433922422;0.938148788927336;5322
10552;698;Level 3;Buildings;32.2249542163145;0.98698224852071;5299
9722;1394;Level 3;Buildings;25.8845584921168;0.0620786516853933;5257
8782;1517;Level 3;Buildings;22.1925800978535;0.22969837587007;5242
6856;1566;Level 3;Buildings;20.5139877991107;0.898305084745763;5231
6959;1645;Level 3;Buildings;21.1529188368056;0.101744186046512;5209
9587;1679;Level 3;Buildings;19.0613005264946;0.145877378435518;5203
9480;1713;Level 3;Buildings;22.6199997789958;0.997179125528914;5190
9655;1794;Level 3;Buildings;undefined;0;5180
9633;1828;Level 3;Buildings;19.2571394725512;0.883610451306413;5174
9209;1935;Level 3;Buildings;22.3444501091452;0.303571428571429;5158
9128;2203;Level 3;Buildings;41.5509354953949;0.998405103668262;5128
9631;2533;Level 3;Buildings;30.9562233413197;0.99002493765586;5090
9869;2894;Level 3;Buildings;39.7321332842521;0.515080113100848;5051
9954;2940;Level 3;Buildings;44.6417473102438;0.998565279770445;5048
9893;3590;Level 3;Buildings;undefined;0;4989
9757;3590;Level 3;Buildings;undefined;0;4988
8731;3962;Level 3;Buildings;20.7498404269058;0.997969543147208;4973
10676;366;Level 3;Buildings;undefined;0;5321
9042;1487;Level 3;Buildings;25.8980200557734;0.25872905027933;5245
9669;3505;Level 3;Buildings;undefined;0;4993
7412;3844;Level 3;Buildings;undefined;0;4977
2995;12117;Level 3;Buildings;undefined;0;4494
9489;1555;Level 3;Buildings;undefined;0;5232
9476;1575;Level 3;Buildings;undefined;0;5227
9551;1573;Level 3;Buildings;undefined;0;5228
9614;1589;Level 3;Buildings;undefined;0;5224
9745;1621;Level 3;Buildings;undefined;0;5214
9539;1592;Level 3;Buildings;undefined;0;5222
9533;1642;Level 3;Buildings;undefined;0;5212
9728;1690;Level 3;Buildings;undefined;0;5198
9529;1664;Level 3;Buildings;undefined;0;5205
9721;1713;Level 3;Buildings;undefined;0;5191
9803;1710;Level 3;Buildings;undefined;0;5192
9622;1767;Level 3;Buildings;16.2053218781002;0.914811229428848;5183
9214;2618;Level 3;Buildings;16.3260478198044;0.985971943887776;5082
8512;3199;Level 3;Buildings;undefined;0;5023
9196;3819;Level 3;Buildings;undefined;0;4978
9391;3934;Level 3;Buildings;undefined;0;4975
