inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
5127;5870;Level 3;Buildings;undefined;0;6592
5208;5880;Level 3;Buildings;undefined;0;6591
5190;6023;Level 3;Buildings;undefined;0;6582
5111;6023;Level 3;Buildings;undefined;0;6581
5708;5894;Level 3;Buildings;undefined;0;6590
5691;6069;Level 3;Buildings;undefined;0;6573
4601;8723;Level 3;Buildings;17.1900049845378;0.0427807486631016;6307
4775;5987;Level 3;Buildings;undefined;0;6586
4840;8338;Level 3;Buildings;undefined;0;6346
5344;5867;Level 3;Buildings;undefined;0;6593
5274;6020;Level 3;Buildings;undefined;0;6583
5139;6259;Level 3;Buildings;undefined;0;6562
4843;8396;Level 3;Buildings;undefined;0;6336
4890;8468;Level 3;Buildings;undefined;0;6324
4737;8667;Level 3;Buildings;undefined;0;6310
5286;5791;Level 3;Buildings;13.5161602313702;0.00792682926829268;6600
12283;6301;Level 3;Buildings;8.15197888049451;0.0487935656836461;undefined
12239;7098;Level 3;Buildings;29.7654931949664;0.150018989745537;6486
4638;8662;Level 3;Buildings;27.7161481853625;0.309112567004169;6311
4842;8487;Level 3;Buildings;12.2450002034505;0.00495662949194548;6321
