inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
5283;6808;Level 3;Buildings;undefined;0;9428
5084;7454;Level 3;Buildings;undefined;0;9358
3873;8168;Level 3;Buildings;undefined;0;9249
1159;9004;Level 3;Buildings;undefined;0;9140
1222;9044;Level 3;Buildings;undefined;0;9137
4434;5473;Level 3;Buildings;7.39409399814293;0.0960629921259843;9547
5077;5485;Level 3;Buildings;22.1987283744064;0.893430656934307;9545
4365;6144;Level 3;Buildings;10.2523193359375;0.0025485198980592;9489
5054;6375;Level 3;Buildings;9.26034846775968;0.0271406727828746;9470
4414;6538;Level 3;Buildings;undefined;0;9451
5230;6622;Level 3;Buildings;5.8699951171875;0.000200240288346015;9443
3831;8443;Level 3;Buildings;35.7603308307238;0.0560574473013667;9204
3992;8548;Level 3;Buildings;undefined;0;9187
4185;8810;Level 3;Buildings;undefined;0;9150
4225;8909;Level 3;Buildings;undefined;0;9144
1310;3208;Level 3;Buildings;undefined;0;9609
1205;3218;Level 3;Buildings;undefined;0;9608
1305;3226;Level 3;Buildings;undefined;0;9607
1301;3245;Level 3;Buildings;undefined;0;9605
1162;3312;Level 3;Buildings;undefined;0;9601
1106;3369;Level 3;Buildings;undefined;0;9597
1014;3413;Level 3;Buildings;undefined;0;9596
1358;3418;Level 3;Buildings;undefined;0;9595
1044;3512;Level 3;Buildings;undefined;0;9591
5071;6271;Level 3;Buildings;undefined;0;9478
5000;7875;Level 3;Buildings;undefined;0;9297
5268;8031;Level 3;Buildings;undefined;0;9274
4020;8630;Level 3;Buildings;undefined;0;9174
3007;5253;Level 3;Buildings;undefined;0;9549
4424;5828;Level 3;Buildings;17.0175323486328;0.000749203970781045;9517
4039;5807;Level 3;Buildings;undefined;0;9519
3756;5854;Level 3;Buildings;undefined;0;9512
3987;5899;Level 3;Buildings;undefined;0;9510
5233;6064;Level 3;Buildings;undefined;0;9496
3903;6103;Level 3;Buildings;undefined;0;9493
5018;6177;Level 3;Buildings;undefined;0;9486
3889;6303;Level 3;Buildings;undefined;0;9476
5247;6531;Level 3;Buildings;undefined;0;9452
3664;6382;Level 3;Buildings;undefined;0;9469
4173;6502;Level 3;Buildings;undefined;0;9455
4074;6554;Level 3;Buildings;undefined;0;9449
3893;6499;Level 3;Buildings;undefined;0;9456
4435;6444;Level 3;Buildings;undefined;0;9461
4364;6552;Level 3;Buildings;undefined;0;9450
4362;6645;Level 3;Buildings;undefined;0;9440
3877;6711;Level 3;Buildings;11.85885670146;0.0113784741652677;9436
3961;6883;Level 3;Buildings;9.26170481238107;0.985004686035614;9420
4600;6911;Level 3;Buildings;undefined;0;9415
5245;6893;Level 3;Buildings;undefined;0;9418
4204;6892;Level 3;Buildings;undefined;0;9419
4802;6931;Level 3;Buildings;undefined;0;9412
4226;6988;Level 3;Buildings;undefined;0;9406
4229;7084;Level 3;Buildings;undefined;0;9398
4368;7060;Level 3;Buildings;undefined;0;9399
5236;7103;Level 3;Buildings;undefined;0;9396
4676;7095;Level 3;Buildings;undefined;0;9397
3966;7155;Level 3;Buildings;undefined;0;9394
5029;7178;Level 3;Buildings;undefined;0;9389
3708;7286;Level 3;Buildings;undefined;0;9375
4525;7349;Level 3;Buildings;undefined;0;9366
4570;7600;Level 3;Buildings;undefined;0;9339
3977;7498;Level 3;Buildings;undefined;0;9352
4074;7487;Level 3;Buildings;undefined;0;9354
4164;7469;Level 3;Buildings;undefined;0;9356
3648;7480;Level 3;Buildings;undefined;0;9355
3700;7741;Level 3;Buildings;undefined;0;9321
3926;7751;Level 3;Buildings;11.5660095214844;0.00600360216129678;9319
3802;7762;Level 3;Buildings;undefined;0;9317
4228;7919;Level 3;Buildings;undefined;0;9291
4569;8032;Level 3;Buildings;undefined;0;9273
4449;8061;Level 3;Buildings;undefined;0;9270
4374;8133;Level 3;Buildings;undefined;0;9256
4418;8234;Level 3;Buildings;undefined;0;9242
4215;8252;Level 3;Buildings;undefined;0;9236
4468;7856;Level 3;Buildings;undefined;0;9301
3844;7957;Level 3;Buildings;undefined;0;9283
5133;8051;Level 3;Buildings;undefined;0;9271
4997;8104;Level 3;Buildings;undefined;0;9259
4054;8072;Level 3;Buildings;undefined;0;9267
5046;8079;Level 3;Buildings;undefined;0;9266
4817;8158;Level 3;Buildings;undefined;0;9253
4021;8361;Level 3;Buildings;undefined;0;9219
3698;8270;Level 3;Buildings;undefined;0;9232
3638;8365;Level 3;Buildings;undefined;0;9218
5286;8252;Level 3;Buildings;undefined;0;9237
3831;8256;Level 3;Buildings;undefined;0;9235
4732;8201;Level 3;Buildings;10.9626672363281;0.0229568411386593;9245
5079;8248;Level 3;Buildings;undefined;0;9238
4389;8313;Level 3;Buildings;undefined;0;9227
4856;8375;Level 3;Buildings;undefined;0;9215
4377;8408;Level 3;Buildings;undefined;0;9208
4921;8560;Level 3;Buildings;undefined;0;9185
3665;8551;Level 3;Buildings;undefined;0;9186
3973;8727;Level 3;Buildings;undefined;0;9162
4027;8817;Level 3;Buildings;undefined;0;9148
3814;8817;Level 3;Buildings;undefined;0;9149
1107;9015;Level 3;Buildings;undefined;0;9138
1054;9015;Level 3;Buildings;undefined;0;9139
1183;9137;Level 3;Buildings;undefined;0;9122
1222;9169;Level 3;Buildings;undefined;0;9117
947;9120;Level 3;Buildings;undefined;0;9124
907;9183;Level 3;Buildings;undefined;0;9114
1002;9240;Level 3;Buildings;undefined;0;9102
3146;9191;Level 3;Buildings;31.9724174050515;0.833543383422201;9112
3149;9294;Level 3;Buildings;13.4674204168033;0.664030131826742;9090
10892;3547;Level 3;Buildings;20.1693626403809;0.00622810432074737;9588
6109;4688;Level 3;Buildings;19.3791960539641;0.0277492291880781;9562
1684;5239;Level 3;Buildings;13.7480823147681;0.0239938080495356;9550
3906;5633;Level 3;Buildings;15.0733402829835;0.117823706059;9531
5116;5669;Level 3;Buildings;16.9402762276786;0.00625782227784731;9529
5295;5958;Level 3;Buildings;11.6983524538436;0.0398271651324441;9506
5257;6157;Level 3;Buildings;8.76295517430161;0.0191165821868211;9487
5231;6244;Level 3;Buildings;2.18399658203125;0.000873209919664687;9480
5242;6342;Level 3;Buildings;14.8599853515625;0.000351432085749429;9472
4220;5531;Level 3;Buildings;11.2177082783467;0.0130718954248366;9538
4586;5528;Level 3;Buildings;13.3822477821992;0.0204042715484363;9539
4693;5517;Level 3;Buildings;15.0759681317446;0.0223868577870833;9542
4483;5511;Level 3;Buildings;18.7882358484101;0.0103111432706223;9543
4791;5544;Level 3;Buildings;13.3896691273835;0.011977263499797;9536
4121;5535;Level 3;Buildings;12.2919921875;0.00456204379562044;9537
4269;5528;Level 3;Buildings;9.60877227783203;0.00300751879699248;9540
4374;5521;Level 3;Buildings;18.9933471679688;0.000542103361040838;9541
4913;5550;Level 3;Buildings;23.3871057482733;0.0279013344116458;9535
5010;5585;Level 3;Buildings;12.0972052680122;0.00672645739910314;9534
4011;5591;Level 3;Buildings;28.3325344384541;0.0433393249450769;9533
4803;5746;Level 3;Buildings;19.2592163085938;0.041738464484013;9524
5038;5971;Level 3;Buildings;45.333553745027;0.19402390438247;9504
3808;5738;Level 3;Buildings;22.6060683230136;0.0868600997967104;9526
4375;5723;Level 3;Buildings;10.5148684853002;0.0128421764109496;9528
4605;5732;Level 3;Buildings;17.0741775867551;0.00871150729335494;9527
4162;5740;Level 3;Buildings;10.1099989149306;0.00354540082726019;9525
5172;5754;Level 3;Buildings;13.5674460671165;0.0218818380743982;9522
5226;5844;Level 3;Buildings;14.2054011027018;0.00597609561752988;9513
4208;5836;Level 3;Buildings;13.2368346646301;0.0223581119816549;9514
4222;5933;Level 3;Buildings;17.3009582519531;0.00187617260787992;9507
3954;6002;Level 3;Buildings;20.5472143865695;0.129324546952224;9502
4971;5832;Level 3;Buildings;2.510009765625;0.000225886604924328;9516
4648;5833;Level 3;Buildings;15.0588543231671;0.00517104216388226;9515
4802;5855;Level 3;Buildings;23.6414690715511;0.0385066917116694;9511
4637;5928;Level 3;Buildings;12.5199584960938;0.000368731563421829;9509
4367;5932;Level 3;Buildings;13.7209625244141;0.00938967136150235;9508
4833;5960;Level 3;Buildings;12.8516529970949;0.122685185185185;9505
3748;5986;Level 3;Buildings;16.0297546386719;0.0239243681265676;9503
3690;6083;Level 3;Buildings;16.1564167079641;0.0123139128836611;9494
4233;6023;Level 3;Buildings;9.75562763214111;0.0114081996434938;9501
4158;6123;Level 3;Buildings;8.719970703125;0.000571319748619311;9491
4649;6030;Level 3;Buildings;19.5130387318285;0.0300323132484319;9500
4422;6033;Level 3;Buildings;13.3230659730973;0.0121283255086072;9499
4808;6150;Level 3;Buildings;18.9400024414063;0.00019546520719312;9488
4812;6051;Level 3;Buildings;16.3754484318505;0.0242242242242242;9498
4807;6650;Level 3;Buildings;38.7608955784848;0.331425456527664;9441
4845;6734;Level 3;Buildings;21.5995704387796;0.022879684418146;9432
5040;6073;Level 3;Buildings;31.6992959031781;0.0944261092775944;9495
3918;6201;Level 3;Buildings;19.447360390111;0.00708955223880597;9484
4608;6127;Level 3;Buildings;14.2709175197557;0.0143186306780777;9490
3735;6185;Level 3;Buildings;43.5038396164467;0.289074960127592;9485
3703;6284;Level 3;Buildings;37.3004069845697;0.0611111111111111;9477
4848;6245;Level 3;Buildings;12.1099853515625;0.000188182160331201;9479
4232;6220;Level 3;Buildings;18.0221840463034;0.0073953823953824;9483
4636;6221;Level 3;Buildings;21.7459469357052;0.00744167337087691;9482
4370;6242;Level 3;Buildings;20.1737987946045;0.073867478025693;9481
4367;6345;Level 3;Buildings;15.6325511443309;0.00753623188405797;9471
4164;6316;Level 3;Buildings;17.8601501464844;0.0117808757117612;9475
4627;6324;Level 3;Buildings;22.8456779928768;0.00961357210179076;9474
4597;6422;Level 3;Buildings;15.9306722005208;0.00278344776396363;9465
4820;6341;Level 3;Buildings;14.9909938786993;0.027158273381295;9473
4816;6444;Level 3;Buildings;37.9581044514974;0.116399729302955;9462
5232;6436;Level 3;Buildings;13.5131365458171;0.0082815734989648;9463
3886;6397;Level 3;Buildings;5.1250244140625;0.0020096463022508;9468
4209;6408;Level 3;Buildings;15.9941909377639;0.0147000397298371;9467
4801;6526;Level 3;Buildings;39.2797745656749;0.0703162626424787;9453
3697;6482;Level 3;Buildings;6.98932578346946;0.00804240541034546;9457
