inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
3885;8574;Level 3;Buildings;undefined;0;4191
4499;13869;Level 3;Buildings;undefined;0;3904
4508;8740;Level 3;Buildings;undefined;0;4185
3680;13752;Level 3;Buildings;21.9878890047121;0.939787485242031;3922
1755;13995;Level 3;Buildings;undefined;0;3881
1793;14020;Level 3;Buildings;undefined;0;3876
1853;14038;Level 3;Buildings;undefined;0;3869
893;13761;Level 3;Buildings;undefined;0;3921
4249;9965;Level 3;Buildings;undefined;0;4148
4449;11658;Level 3;Buildings;undefined;0;4078
4197;11678;Level 3;Buildings;undefined;0;4076
4207;11703;Level 3;Buildings;undefined;0;4075
4452;11823;Level 3;Buildings;undefined;0;4065
4412;13307;Level 3;Buildings;undefined;0;3977
1938;14071;Level 3;Buildings;undefined;0;3864
4202;10955;Level 3;Buildings;23.233518353215;0.061503416856492;4118
4268;12453;Level 3;Buildings;28.0541332380259;0.268950028074116;4048
3703;13679;Level 3;Buildings;20.5064196438664;0.111436170212766;3930
3625;13867;Level 3;Buildings;19.3563631231135;0.00716379029632042;3906
3764;13874;Level 3;Buildings;8.48437452316284;0.00549073438572409;3902
