inner_x;inner_y;level_name;class_name;Mean nDSM Tree Canopy Sub-Objects;Rel. area of sub objects Tree Canopy (1);"ID_Build"  Buildings
962;7304;Level 3;Buildings;18.1906620623117;0.0285223367697594;3612
3237;7574;Level 3;Buildings;undefined;0;3536
7375;12943;Level 3;Buildings;undefined;0;2174
3891;5723;Level 3;Buildings;6.23853981711648;0.443548387096774;3954
1009;7270;Level 3;Buildings;9.15264316774764;0.239819004524887;3627
3039;7699;Level 3;Buildings;10.1345778378573;0.708249496981891;3488
6714;9036;Level 3;Buildings;undefined;0;3257
5618;9228;Level 3;Buildings;undefined;0;3220
6733;10697;Level 3;Buildings;7.06091853550502;0.01721412260671;2812
8244;10697;Level 3;Buildings;9.48089348001683;0.0476770135930209;2813
6920;10937;Level 3;Buildings;undefined;0;2775
8599;12672;Level 3;Buildings;27.049609927388;0.0195530726256983;2288
7754;13507;Level 3;Buildings;undefined;0;1968
7756;13508;Level 3;Buildings;undefined;0;1968
7788;13513;Level 3;Buildings;undefined;0;1964
7815;13537;Level 3;Buildings;undefined;0;1964
5916;8987;Level 3;Buildings;undefined;0;3265
3820;5740;Level 3;Buildings;undefined;0;3951
3964;6170;Level 3;Buildings;undefined;0;3886
1077;6316;Level 3;Buildings;13.9654232261568;0.520034843205575;3859
4711;7964;Level 3;Buildings;undefined;0;3426
1453;7393;Level 3;Buildings;undefined;0;3592
3011;7197;Level 3;Buildings;undefined;0;3658
8233;8479;Level 3;Buildings;undefined;0;3354
8597;13010;Level 3;Buildings;undefined;0;2143
8656;13034;Level 3;Buildings;undefined;0;2130
715;5806;Level 3;Buildings;undefined;0;3945
4816;5989;Level 3;Buildings;undefined;0;3917
5095;6228;Level 3;Buildings;undefined;0;3880
4427;6169;Level 3;Buildings;undefined;0;3887
5041;6096;Level 3;Buildings;undefined;0;3901
3943;6426;Level 3;Buildings;undefined;0;3841
4160;6545;Level 3;Buildings;undefined;0;3816
4249;6603;Level 3;Buildings;undefined;0;3808
