inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
13660;6987;Level 3;Buildings;104.50205984363;7025
6610;2975;Level 3;Buildings;1894.35842371476;8814
13718;3802;Level 3;Buildings;113.700155077867;8427
13453;4595;Level 3;Buildings;67.252315374619;8131
13715;4715;Level 3;Buildings;60.8345602051839;8069
13724;4793;Level 3;Buildings;61.2558793963994;8006
12490;4879;Level 3;Buildings;67.461120792702;7956
12284;4898;Level 3;Buildings;129.95697110497;7940
13220;5433;Level 3;Buildings;106.862073101846;7615
15928;6494;Level 3;Buildings;69.597412942414;7194
14331;7082;Level 3;Buildings;69.6677767118963;7007
14665;7079;Level 3;Buildings;82.5921189431493;7009
2954;337;Level 3;Buildings;4.66677918668927;9278
2957;345;Level 3;Buildings;4.66677918668927;9278
12614;3228;Level 3;Buildings;57.3017933895157;8691
14751;4404;Level 3;Buildings;104.46761241722;8195
13209;4757;Level 3;Buildings;59.1286946461037;8038
14295;4804;Level 3;Buildings;97.6691105317026;7997
13211;4808;Level 3;Buildings;59.1286946461037;7994
13750;4854;Level 3;Buildings;57.898718466514;7974
14322;5272;Level 3;Buildings;96.3222442720279;7697
14831;5321;Level 3;Buildings;101.217569278689;7668
14305;5735;Level 3;Buildings;89.3588966559187;7491
14403;7083;Level 3;Buildings;69.6677767118963;7006
14093;7393;Level 3;Buildings;79.030464852352;6946
12727;3247;Level 3;Buildings;57.208159536473;8674
12267;3627;Level 3;Buildings;97.6741988332864;8496
12436;4908;Level 3;Buildings;67.461120792702;7933
13536;5008;Level 3;Buildings;102.328708894618;7846
15891;5643;Level 3;Buildings;42.6596976718637;7524
15847;5656;Level 3;Buildings;42.6596976718637;7515
13615;6887;Level 3;Buildings;104.50205984363;7052
14913;7103;Level 3;Buildings;94.868351793897;6996
14329;7480;Level 3;Buildings;101.89693162474;6930
15249;13105;Level 3;Buildings;761.287316516681;6458
1958;180;Level 3;Buildings;1003.40006500299;9306
