inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
8366;1372;Level 3;Buildings;292.437688472636;5260
9446;1579;Level 3;Buildings;59.9525845126047;5225
9463;1646;Level 3;Buildings;33.4715524396735;5208
9741;1643;Level 3;Buildings;22.4160493505818;5210
9866;3516;Level 3;Buildings;67.7380053139558;4992
9369;3563;Level 3;Buildings;115.555129092413;4990
9746;1791;Level 3;Buildings;33.4710957064402;5181
9714;4057;Level 3;Buildings;52.3121510991219;4969
10425;318;Level 3;Buildings;86.6147533887498;5322
10552;698;Level 3;Buildings;290.681368208197;5299
9722;1394;Level 3;Buildings;114.560749842394;5257
8782;1517;Level 3;Buildings;71.3519483171878;5242
6856;1566;Level 3;Buildings;133.813905986638;5231
6959;1645;Level 3;Buildings;73.035283887857;5209
9587;1679;Level 3;Buildings;22.7369628996052;5203
9480;1713;Level 3;Buildings;40.0836667139797;5190
9655;1794;Level 3;Buildings;28.0430232764596;5180
9633;1828;Level 3;Buildings;34.855533262333;5174
9209;1935;Level 3;Buildings;58.5470269048626;5158
9128;2203;Level 3;Buildings;133.938244830785;5128
9631;2533;Level 3;Buildings;283.140081645294;5090
9869;2894;Level 3;Buildings;125.855268774778;5051
9954;2940;Level 3;Buildings;125.855268774778;5048
9893;3590;Level 3;Buildings;56.613721155743;4989
9757;3590;Level 3;Buildings;121.228080000023;4988
8731;3962;Level 3;Buildings;64.043824396769;4973
10676;366;Level 3;Buildings;288.272919096877;5321
9042;1487;Level 3;Buildings;139.539493048106;5245
9669;3505;Level 3;Buildings;128.807088096282;4993
7412;3844;Level 3;Buildings;321.371362275121;4977
2995;12117;Level 3;Buildings;230.886079197837;4494
9489;1555;Level 3;Buildings;25.0648788898995;5232
9476;1575;Level 3;Buildings;25.0648788898995;5227
9551;1573;Level 3;Buildings;23.4413774401583;5228
9614;1589;Level 3;Buildings;23.3260638043835;5224
9745;1621;Level 3;Buildings;22.4160493505818;5214
9539;1592;Level 3;Buildings;23.4413774401583;5222
9533;1642;Level 3;Buildings;22.4114517971109;5212
9728;1690;Level 3;Buildings;24.6605596827575;5198
9529;1664;Level 3;Buildings;22.4114517971109;5205
9721;1713;Level 3;Buildings;24.6605596827575;5191
9803;1710;Level 3;Buildings;52.9652246151705;5192
9622;1767;Level 3;Buildings;28.0430232764596;5183
9214;2618;Level 3;Buildings;194.140238308246;5082
8512;3199;Level 3;Buildings;195.248017790352;5023
9196;3819;Level 3;Buildings;256.601088599099;4978
9391;3934;Level 3;Buildings;168.402606717313;4975
9739;4118;Level 3;Buildings;52.3121510991219;4967
9549;4311;Level 3;Buildings;251.85410401554;4960
9443;4584;Level 3;Buildings;122.904371539358;4950
9495;4677;Level 3;Buildings;122.904371539358;4943
9576;4837;Level 3;Buildings;68.6278693132205;4924
2832;12067;Level 3;Buildings;230.886079197837;4498
10399;367;Level 3;Buildings;86.6147533887498;5320
10047;511;Level 3;Buildings;302.379498584271;5312
9783;1035;Level 3;Buildings;350.130895612118;5287
8857;1297;Level 3;Buildings;191.554777887599;5270
9631;1341;Level 3;Buildings;107.179369022915;5266
8735;1462;Level 3;Buildings;71.3519483171878;5248
9551;1433;Level 3;Buildings;87.5861782208175;5252
9476;1518;Level 3;Buildings;57.0280922040179;5241
9494;1521;Level 3;Buildings;32.8063547294104;5240
9559;1539;Level 3;Buildings;34.2829021348387;5238
9613;1557;Level 3;Buildings;32.3188781958402;5233
9702;1578;Level 3;Buildings;31.7638767793871;5226
9754;1591;Level 3;Buildings;31.8213741995891;5223
9826;1621;Level 3;Buildings;56.4691501269642;5217
9603;1610;Level 3;Buildings;23.3260638043835;5216
9685;1607;Level 3;Buildings;23.0145264099427;5218
9692;1631;Level 3;Buildings;23.0145264099427;5213
9430;1643;Level 3;Buildings;58.9142221730313;5211
9530;1696;Level 3;Buildings;31.2273935167361;5196
9460;1682;Level 3;Buildings;33.4715524396735;5201
9354;1766;Level 3;Buildings;105.691502640269;5184
9248;1887;Level 3;Buildings;58.5470269048626;5163
9599;1894;Level 3;Buildings;95.9587836295679;5162
9000;1910;Level 3;Buildings;199.406906399853;5159
9466;2043;Level 3;Buildings;205.776208578858;5148
9132;2054;Level 3;Buildings;133.938244830785;5146
8577;2147;Level 3;Buildings;141.688778442433;5137
8734;2158;Level 3;Buildings;98.7041526114999;5135
8734;2244;Level 3;Buildings;98.7041526114999;5125
8571;2262;Level 3;Buildings;132.20910814201;5123
9266;2411;Level 3;Buildings;194.140238308246;5106
8806;2713;Level 3;Buildings;219.906495824486;5075
9017;2775;Level 3;Buildings;185.1513865682;5063
9708;2818;Level 3;Buildings;122.509417878025;5059
9275;2904;Level 3;Buildings;87.8840680105082;5050
9788;2642;Level 3;Buildings;122.509417878025;5080
9103;2983;Level 3;Buildings;56.8950533440126;5041
9266;2969;Level 3;Buildings;87.8840680105082;5043
8452;3050;Level 3;Buildings;195.248017790352;5036
9906;3094;Level 3;Buildings;113.46958076999;5035
9896;3195;Level 3;Buildings;113.46958076999;5024
9689;3255;Level 3;Buildings;61.45451695188;5016
