inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
5383;6755;Level 3;Buildings;389.457418512853;6924
7270;4921;Level 3;Buildings;309.115806575232;7512
5606;5390;Level 3;Buildings;82.9460441507277;7345
4552;5891;Level 3;Buildings;87.8803392209162;7136
4733;9903;Level 3;Buildings;202.484308715197;6670
2907;2514;Level 3;Buildings;416.276046542912;8664
6960;4940;Level 3;Buildings;309.115806575232;7506
4712;5470;Level 3;Buildings;66.8814365710676;7315
5059;8648;Level 3;Buildings;273.480909508284;6758
2666;2181;Level 3;Buildings;416.276046542912;8841
3972;4669;Level 3;Buildings;458.212342806666;7630
4393;5256;Level 3;Buildings;297.881848348042;7400
4772;5252;Level 3;Buildings;105.204834511468;7403
6766;5476;Level 3;Buildings;109.676816041763;7312
6978;5535;Level 3;Buildings;77.586375751555;7284
6966;5579;Level 3;Buildings;77.586375751555;7268
4825;5907;Level 3;Buildings;97.2610773226753;7132
6413;6358;Level 3;Buildings;236.224759019604;6999
4824;6174;Level 3;Buildings;31.9937621927374;7042
4818;6208;Level 3;Buildings;31.9937621927374;7035
6294;6572;Level 3;Buildings;236.224759019604;6959
4554;6704;Level 3;Buildings;244.050576276141;6935
4557;6995;Level 3;Buildings;238.148660737541;6890
4996;8292;Level 3;Buildings;246.749774412473;6790
4789;8718;Level 3;Buildings;191.73328394005;6747
4852;8859;Level 3;Buildings;157.826616741688;6736
4707;8989;Level 3;Buildings;157.826616741688;6724
4828;10069;Level 3;Buildings;147.29989255915;6654
3359;3121;Level 3;Buildings;129.112830257428;8402
3203;3140;Level 3;Buildings;129.112830257428;8390
4372;4849;Level 3;Buildings;326.029360471145;7548
5303;5032;Level 3;Buildings;285.057252452675;7475
6203;5175;Level 3;Buildings;137.355657993797;7420
6212;5405;Level 3;Buildings;137.355657993797;7337
5976;5547;Level 3;Buildings;260.741788674905;7279
5460;6084;Level 3;Buildings;300.260566590821;7072
5188;5174;Level 3;Buildings;285.057252452675;7419
4624;5188;Level 3;Buildings;105.204834511468;7415
6823;6396;Level 3;Buildings;269.793284894142;6990
7066;6516;Level 3;Buildings;286.260601596511;6971
6611;6665;Level 3;Buildings;242.467169647341;6945
4377;5524;Level 3;Buildings;297.881848348042;7288
4724;5507;Level 3;Buildings;66.8814365710676;7301
6412;5555;Level 3;Buildings;314.070969718315;7277
5506;5366;Level 3;Buildings;82.9460441507277;7359
6844;5507;Level 3;Buildings;109.676816041763;7300
6752;5605;Level 3;Buildings;113.461748892815;7255
7125;5823;Level 3;Buildings;332.558540534899;7163
4715;5848;Level 3;Buildings;128.749888426598;7153
5021;5839;Level 3;Buildings;139.312647996224;7156
4555;5946;Level 3;Buildings;87.8803392209162;7112
4852;5998;Level 3;Buildings;97.2610773226753;7097
4757;6016;Level 3;Buildings;130.361608787127;7088
5834;6030;Level 3;Buildings;300.260566590821;7083
5813;6824;Level 3;Buildings;153.233960037523;6917
4774;6698;Level 3;Buildings;250.784608861212;6936
5092;6623;Level 3;Buildings;267.260036116596;6950
5792;6445;Level 3;Buildings;268.977907887443;6981
5938;6658;Level 3;Buildings;153.233960037523;6943
4282;7011;Level 3;Buildings;238.148660737541;6888
4966;8047;Level 3;Buildings;246.749774412473;6803
5383;8516;Level 3;Buildings;169.189770300063;6771
5586;8503;Level 3;Buildings;169.189770300063;6774
4786;9130;Level 3;Buildings;179.148807288916;6715
5044;9399;Level 3;Buildings;272.909272737739;6694
4744;9418;Level 3;Buildings;264.376848292802;6693
4798;9651;Level 3;Buildings;202.484308715197;6681
4693;10085;Level 3;Buildings;147.29989255915;6653
