inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
9018;11256;Level 3;Buildings;404.083600400025;2332
10271;12938;Level 3;Buildings;51.0110705663924;1693
6209;13328;Level 3;Buildings;122.707290453004;1543
6003;13339;Level 3;Buildings;94.8157743745216;1537
5383;16965;Level 3;Buildings;61.2925312992825;577
4177;10263;Level 3;Buildings;49.3146397817942;2638
3556;12141;Level 3;Buildings;85.6092679950659;1984
4686;13234;Level 3;Buildings;72.3159487282557;1586
5799;13758;Level 3;Buildings;41.6922135589938;1387
4234;13765;Level 3;Buildings;136.260814775147;1383
4498;14399;Level 3;Buildings;194.44005345826;1181
7154;14533;Level 3;Buildings;41.2543648868891;1172
5714;14752;Level 3;Buildings;214.995146680982;1103
5486;12286;Level 3;Buildings;408.436674371703;1933
6107;12613;Level 3;Buildings;313.692153549441;1820
5761;12799;Level 3;Buildings;362.806900216006;1742
3985;10232;Level 3;Buildings;37.9681847461789;2646
7035;12563;Level 3;Buildings;117.736199582389;1836
3654;12456;Level 3;Buildings;76.3161210471023;1873
6558;13141;Level 3;Buildings;154.79854427677;1617
6304;13553;Level 3;Buildings;178.830245237927;1458
5454;16917;Level 3;Buildings;78.0027280780072;589
4072;5977;Level 3;Buildings;237.763948788922;3623
4239;7793;Level 3;Buildings;185.562323994744;3248
5048;9162;Level 3;Buildings;472.298235821721;2870
5526;9718;Level 3;Buildings;100.912507447752;2760
6498;9772;Level 3;Buildings;129.663209951729;2752
3984;10186;Level 3;Buildings;35.6621753061459;2655
3504;10276;Level 3;Buildings;269.788382459524;2632
6355;10431;Level 3;Buildings;207.927703238079;2587
3016;11298;Level 3;Buildings;308.197624401471;2323
10813;11435;Level 3;Buildings;201.701248846209;2268
6060;11650;Level 3;Buildings;667.38878150769;2171
9318;11736;Level 3;Buildings;331.99821548194;2125
8465;11872;Level 3;Buildings;317.290202672078;2073
6804;12257;Level 3;Buildings;294.869700167869;1947
4354;12528;Level 3;Buildings;93.2527896601481;1851
10029;12677;Level 3;Buildings;258.924736920336;1797
6955;12739;Level 3;Buildings;213.423353884238;1771
10230;12931;Level 3;Buildings;51.0110705663924;1696
10428;12913;Level 3;Buildings;112.658279429301;1703
6171;12970;Level 3;Buildings;296.345265424661;1680
4715;13087;Level 3;Buildings;97.945309223141;1638
6770;13194;Level 3;Buildings;124.300740787331;1603
5012;13480;Level 3;Buildings;369.098301403695;1480
5493;13633;Level 3;Buildings;189.863217086755;1426
5759;14113;Level 3;Buildings;254.541365163741;1265
6412;14344;Level 3;Buildings;120.680543192761;1197
5094;15906;Level 3;Buildings;372.631028990389;903
5343;16986;Level 3;Buildings;58.9005906025275;571
4316;6091;Level 3;Buildings;237.763948788922;3590
3264;7574;Level 3;Buildings;417.708160971702;3292
4070;7854;Level 3;Buildings;185.562323994744;3233
3598;7817;Level 3;Buildings;417.708160971702;3244
2136;9278;Level 3;Buildings;244.129531450605;2840
2329;9127;Level 3;Buildings;244.129531450605;2881
5367;9445;Level 3;Buildings;144.778267199325;2804
5432;9573;Level 3;Buildings;144.778267199325;2782
6498;9703;Level 3;Buildings;129.663209951729;2763
5236;9699;Level 3;Buildings;203.16726637663;2764
5456;9801;Level 3;Buildings;100.912507447752;2747
5854;9904;Level 3;Buildings;177.904933447291;2725
2846;10076;Level 3;Buildings;146.684219597417;2677
2709;10064;Level 3;Buildings;146.684219597417;2688
6810;10369;Level 3;Buildings;86.7750559564556;2604
6779;10439;Level 3;Buildings;86.7750559564556;2584
6300;9994;Level 3;Buildings;200.891425247704;2705
6075;9987;Level 3;Buildings;177.904933447291;2707
3966;9996;Level 3;Buildings;123.963090311368;2704
2494;10119;Level 3;Buildings;120.038795292285;2669
2509;10201;Level 3;Buildings;120.038795292285;2652
3940;10205;Level 3;Buildings;35.6621753061459;2650
6439;10213;Level 3;Buildings;200.891425247704;2648
3723;10144;Level 3;Buildings;234.985741648445;2663
4164;10302;Level 3;Buildings;49.3146397817942;2618
4068;10438;Level 3;Buildings;107.967117367748;2586
4197;10426;Level 3;Buildings;107.967117367748;2591
3219;10456;Level 3;Buildings;320.253617074854;2580
3609;10912;Level 3;Buildings;76.3726800780491;2423
3545;10938;Level 3;Buildings;76.3726800780491;2412
6046;10694;Level 3;Buildings;88.5703128862066;2505
6108;10750;Level 3;Buildings;88.5703128862066;2487
3026;11711;Level 3;Buildings;67.0128549248748;2141
3094;11679;Level 3;Buildings;67.0128549248748;2152
2940;11854;Level 3;Buildings;164.472648274923;2079
3473;12174;Level 3;Buildings;83.4976334375946;1977
4156;12242;Level 3;Buildings;228.098356024954;1952
3497;12259;Level 3;Buildings;119.670818863781;1946
3600;12403;Level 3;Buildings;76.3161210471023;1896
3771;12565;Level 3;Buildings;177.824272706477;1834
3748;12830;Level 3;Buildings;259.735151147015;1734
3940;13341;Level 3;Buildings;345.62880102153;1545
4332;13373;Level 3;Buildings;165.12661608641;1524
4248;13569;Level 3;Buildings;96.0466231038195;1454
4181;13606;Level 3;Buildings;96.0466231038195;1443
4731;13742;Level 3;Buildings;319.893042498776;1390
4099;13903;Level 3;Buildings;181.470144788754;1330
4545;14183;Level 3;Buildings;194.44005345826;1244
5956;10974;Level 3;Buildings;296.49955434645;2403
2881;11033;Level 3;Buildings;308.197624401471;2392
11104;11345;Level 3;Buildings;286.932629850171;2298
10843;11646;Level 3;Buildings;159.895827288348;2173
11057;11520;Level 3;Buildings;159.895827288348;2235
3253;11678;Level 3;Buildings;235.783776511654;2153
8838;11621;Level 3;Buildings;398.948046532851;2181
9846;11956;Level 3;Buildings;167.75834345554;2044
9710;12058;Level 3;Buildings;167.75834345554;2015
9946;12194;Level 3;Buildings;119.01698868636;1969
10042;12223;Level 3;Buildings;84.4690772231321;1960
10105;12276;Level 3;Buildings;84.4690772231321;1940
10222;12286;Level 3;Buildings;104.406121274953;1934
10032;12260;Level 3;Buildings;98.0536698835677;1945
9776;12337;Level 3;Buildings;224.263835930698;1916
10391;12311;Level 3;Buildings;111.833321318728;1924
9182;12047;Level 3;Buildings;279.732091569176;2017
8903;12126;Level 3;Buildings;142.664927474053;1992
7613;11967;Level 3;Buildings;59.8330545130925;2040
7520;11962;Level 3;Buildings;59.8330545130925;2041
7702;12020;Level 3;Buildings;117.717306194722;2023
