inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
3111;4115;Level 3;Buildings;117.892162716605;6622
2807;4367;Level 3;Buildings;82.2756663919447;6611
4000;5454;Level 3;Buildings;57.5962149255697;6518
3021;6266;Level 3;Buildings;91.4395620289874;6432
4830;7001;Level 3;Buildings;101.038218902099;6352
7368;8236;Level 3;Buildings;74.2507668324636;6228
2785;5119;Level 3;Buildings;129.182957268996;6544
12569;5703;Level 3;Buildings;109.120287708444;6497
11864;5777;Level 3;Buildings;94.8869972987296;6489
11526;5805;Level 3;Buildings;144.23256583646;6485
11944;5814;Level 3;Buildings;41.7807864565203;6481
11751;5862;Level 3;Buildings;65.306312416452;6471
3457;6193;Level 3;Buildings;81.1047825781935;6437
2197;6269;Level 3;Buildings;96.0858390624736;6429
3377;6497;Level 3;Buildings;72.6156383063684;6400
4776;7167;Level 3;Buildings;102.234935254776;6323
3166;3977;Level 3;Buildings;117.892162716605;6630
11690;5766;Level 3;Buildings;119.330998537098;6491
11822;5968;Level 3;Buildings;70.300694521754;6454
12490;5905;Level 3;Buildings;213.616155639518;6464
781;4934;Level 3;Buildings;205.065571323675;6566
4609;5210;Level 3;Buildings;165.195918099413;6536
3670;5240;Level 3;Buildings;90.4689842900123;6532
3662;6310;Level 3;Buildings;55.1483486032396;6426
4697;6000;Level 3;Buildings;166.273165430459;6452
3948;6274;Level 3;Buildings;98.8357736083478;6428
5400;6159;Level 3;Buildings;272.243598388141;6440
3398;6415;Level 3;Buildings;72.6156383063684;6409
4009;6831;Level 3;Buildings;98.7053039190985;6368
4989;7105;Level 3;Buildings;96.6265160142683;6332
6973;7158;Level 3;Buildings;403.689853885532;6326
4876;7116;Level 3;Buildings;96.6265160142683;6330
6283;7274;Level 3;Buildings;231.415398297539;6314
7275;8230;Level 3;Buildings;74.2507668324636;6229
3554;4422;Level 3;Buildings;292.424250044433;6607
3752;4723;Level 3;Buildings;89.6587614685474;6580
4073;4986;Level 3;Buildings;179.344079516107;6557
3735;5094;Level 3;Buildings;83.0989697742961;6546
3782;5207;Level 3;Buildings;83.0989697742961;6537
489;5117;Level 3;Buildings;113.957977179014;6545
4395;5176;Level 3;Buildings;165.195918099413;6540
4091;5122;Level 3;Buildings;179.344079516107;6543
3617;5326;Level 3;Buildings;90.4689842900123;6524
3418;5289;Level 3;Buildings;137.068460445569;6528
3316;5374;Level 3;Buildings;123.23624501672;6521
3233;5461;Level 3;Buildings;108.944707753796;6517
3762;5464;Level 3;Buildings;178.388110621799;6516
3970;5496;Level 3;Buildings;57.5962149255697;6512
4118;5574;Level 3;Buildings;196.826677930154;6509
11770;5608;Level 3;Buildings;119.406169081083;6507
3154;5558;Level 3;Buildings;108.944707753796;6510
3389;5611;Level 3;Buildings;118.211826163063;6506
2608;5714;Level 3;Buildings;103.245957808361;6495
3974;5852;Level 3;Buildings;132.336032421655;6474
2591;5824;Level 3;Buildings;100.043277184777;6480
11966;5854;Level 3;Buildings;41.7807864565203;6473
11926;5899;Level 3;Buildings;66.4371395590494;6465
413;5806;Level 3;Buildings;469.235350758107;6484
4159;5845;Level 3;Buildings;89.9216965090891;6476
11816;5866;Level 3;Buildings;65.306312416452;6469
5634;5919;Level 3;Buildings;118.105093019987;6462
