inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
8218;7895;Level 3;Buildings;815.705891599494;6772
6054;5693;Level 3;Buildings;1033.95882918028;7017
5461;7397;Level 3;Buildings;113.024251137393;6806
2077;3698;Level 3;Buildings;128.603309280481;7829
3345;5028;Level 3;Buildings;187.156261149707;7245
4021;5232;Level 3;Buildings;68.1188762487876;7155
4352;6613;Level 3;Buildings;33.9644360472806;6862
4373;6632;Level 3;Buildings;33.9644360472806;6861
4421;6797;Level 3;Buildings;74.5582238053887;6848
7356;6821;Level 3;Buildings;37.6314063213788;6846
4700;7137;Level 3;Buildings;267.921714024944;6825
6076;7473;Level 3;Buildings;137.388554489156;6800
6007;7835;Level 3;Buildings;104.936043322965;6778
6633;8103;Level 3;Buildings;70.1253942487772;6749
8617;9767;Level 3;Buildings;231.900903058066;6633
8244;10349;Level 3;Buildings;68.6519203040352;6598
1873;2213;Level 3;Buildings;284.808800967274;8521
1493;2829;Level 3;Buildings;155.593610511732;8276
6378;6902;Level 3;Buildings;193.919155887522;6837
5199;7354;Level 3;Buildings;143.484383778111;6810
5318;7360;Level 3;Buildings;15.4419162676217;6809
2974;3831;Level 3;Buildings;274.031611113818;7752
7335;6602;Level 3;Buildings;144.260320714838;6865
7320;6838;Level 3;Buildings;37.6314063213788;6844
5921;7015;Level 3;Buildings;169.406749570744;6832
6176;7113;Level 3;Buildings;98.1999343066504;6826
6226;7416;Level 3;Buildings;115.002299547934;6805
6685;7424;Level 3;Buildings;109.666552281726;6804
6392;7450;Level 3;Buildings;169.508292726067;6801
7363;7819;Level 3;Buildings;229.961127953705;6779
7427;8040;Level 3;Buildings;229.961127953705;6757
7597;8617;Level 3;Buildings;594.929034589734;6711
10157;8672;Level 3;Buildings;249.42509530067;6708
9892;8758;Level 3;Buildings;277.075202552635;6698
10186;8910;Level 3;Buildings;249.42509530067;6687
9047;9406;Level 3;Buildings;78.5993530431564;6660
4206;6479;Level 3;Buildings;49.0284795552183;6879
4234;6517;Level 3;Buildings;49.0284795552183;6876
4335;6551;Level 3;Buildings;58.2676334064801;6870
5633;7689;Level 3;Buildings;112.651381191337;6789
6872;8047;Level 3;Buildings;107.13366326523;6755
6790;8149;Level 3;Buildings;107.13366326523;6745
8990;10268;Level 3;Buildings;70.7720286380314;6603
1618;2058;Level 3;Buildings;18.2532132558297;8593
1636;2060;Level 3;Buildings;18.2532132558297;8590
1633;2079;Level 3;Buildings;18.5628376485934;8579
1614;2075;Level 3;Buildings;18.4947634666445;8582
1172;2213;Level 3;Buildings;128.664107279965;8520
5607;6606;Level 3;Buildings;73.0887599311167;6864
5572;6652;Level 3;Buildings;73.0887599311167;6859
6078;7071;Level 3;Buildings;124.089556639656;6828
6596;7191;Level 3;Buildings;58.3450342238204;6821
6710;7242;Level 3;Buildings;60.7640797754048;6817
6558;7207;Level 3;Buildings;58.3450342238204;6819
5366;7319;Level 3;Buildings;33.2400384456674;6814
5330;7354;Level 3;Buildings;15.4419162676217;6811
6571;7374;Level 3;Buildings;109.666552281726;6808
6594;8503;Level 3;Buildings;58.2208988291143;6718
6557;8548;Level 3;Buildings;58.2208988291143;6714
5604;8739;Level 3;Buildings;61.5860173203534;6700
6259;8896;Level 3;Buildings;175.004811866238;6688
7817;9213;Level 3;Buildings;666.387115992479;6673
8289;10268;Level 3;Buildings;67.4369079437581;6604
1320;2153;Level 3;Buildings;246.094120686239;8544
1098;2326;Level 3;Buildings;128.664107279965;8473
1450;2589;Level 3;Buildings;101.752797059475;8375
1473;3535;Level 3;Buildings;307.629917575849;7953
2835;3591;Level 3;Buildings;94.0524708332179;7896
1981;3628;Level 3;Buildings;128.603309280481;7862
2664;3592;Level 3;Buildings;141.037185344936;7892
