inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
6470;8037;Level 3;Buildings;91.1588928847129;4182
4440;9230;Level 3;Buildings;301.384132058062;4147
3373;9935;Level 3;Buildings;119.27319382931;4124
7516;3596;Level 3;Buildings;547.469452485137;4404
4157;5402;Level 3;Buildings;641.109984470412;4351
7062;8732;Level 3;Buildings;22.1309718914367;4155
7080;8731;Level 3;Buildings;22.1309718914367;4156
6213;4839;Level 3;Buildings;96.6313878749803;4366
6227;4952;Level 3;Buildings;96.6313878749803;4363
6055;5051;Level 3;Buildings;199.152728212201;4360
5315;8679;Level 3;Buildings;305.011886324016;4158
7843;9545;Level 3;Buildings;1011.78514930224;4141
8719;729;Level 3;Buildings;2918.29439998101;4493
8218;3591;Level 3;Buildings;704.810606262809;4405
5397;6055;Level 3;Buildings;165.995959642329;4291
5518;6143;Level 3;Buildings;149.127607364806;4284
5768;6183;Level 3;Buildings;98.7257379810287;4276
5850;6253;Level 3;Buildings;98.7257379810287;4260
5625;6261;Level 3;Buildings;149.127607364806;4258
5303;8055;Level 3;Buildings;98.8754436853011;4180
5460;8059;Level 3;Buildings;69.4802762449297;4179
5429;8116;Level 3;Buildings;69.4802762449297;4178
5374;8176;Level 3;Buildings;73.0623609674691;4175
5456;8460;Level 3;Buildings;305.011886324016;4165
7470;4149;Level 3;Buildings;547.469452485137;4386
6274;6016;Level 3;Buildings;419.528642483237;4299
2888;9559;Level 3;Buildings;63.6877293374895;4140
2926;9630;Level 3;Buildings;63.6877293374895;4138
3614;9586;Level 3;Buildings;365.510465570355;4139
3680;9967;Level 3;Buildings;130.4556706619;4123
3414;9991;Level 3;Buildings;119.27319382931;4121
4085;6038;Level 3;Buildings;641.109984470412;4296
5969;6302;Level 3;Buildings;125.872713837255;4255
6503;7952;Level 3;Buildings;91.1588928847129;4187
6685;7968;Level 3;Buildings;163.144553657462;4186
6271;8366;Level 3;Buildings;308.467773379946;4172
6173;8121;Level 3;Buildings;281.041479964609;4177
6618;8175;Level 3;Buildings;210.06208571826;4176
7232;8818;Level 3;Buildings;166.678838338639;4154
4788;9277;Level 3;Buildings;301.384132058062;4145
3302;9282;Level 3;Buildings;431.837326394938;4146
3639;10232;Level 3;Buildings;139.976554443063;4115
3680;10088;Level 3;Buildings;130.4556706619;4120
3875;10704;Level 3;Buildings;537.071974866619;4088
