inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
10516;7130;Level 3;Buildings;62.397693045334;5440
10848;3498;Level 3;Buildings;437.212941506399;5914
10593;4510;Level 3;Buildings;105.330856599548;5739
4952;6554;Level 3;Buildings;937.338156462265;5472
2158;7526;Level 3;Buildings;75.8462929199837;5401
1967;7566;Level 3;Buildings;144.54814086496;5395
2317;7835;Level 3;Buildings;178.214675755453;5380
4155;8150;Level 3;Buildings;96.8572099335921;5367
12092;8530;Level 3;Buildings;115.451444924463;5350
3354;9661;Level 3;Buildings;68.6844133236743;5292
3335;9733;Level 3;Buildings;66.8792857110226;5289
3375;9777;Level 3;Buildings;66.8792857110226;5288
3394;10127;Level 3;Buildings;159.402117911586;5259
3312;10817;Level 3;Buildings;149.475674640717;5143
6582;6932;Level 3;Buildings;386.082709716046;5448
10306;7197;Level 3;Buildings;72.8612393792009;5431
2398;7295;Level 3;Buildings;225.744741439859;5421
2025;7391;Level 3;Buildings;144.54814086496;5416
6741;7680;Level 3;Buildings;214.527181871954;5388
10242;7841;Level 3;Buildings;61.7488844315704;5379
5640;8055;Level 3;Buildings;279.679512439921;5370
5753;8717;Level 3;Buildings;44.2667083942574;5342
7650;8790;Level 3;Buildings;406.19640125412;5338
9080;8866;Level 3;Buildings;304.597493238824;5334
3311;9887;Level 3;Buildings;88.458835766175;5285
3277;10039;Level 3;Buildings;59.2849582310022;5271
3400;10645;Level 3;Buildings;114.40300934415;5161
2517;7092;Level 3;Buildings;225.744741439859;5443
2013;7174;Level 3;Buildings;248.224108134675;5433
1914;7738;Level 3;Buildings;202.492415053717;5386
3760;8043;Level 3;Buildings;184.200109210571;5371
10588;7148;Level 3;Buildings;62.397693045334;5439
8132;8237;Level 3;Buildings;458.542431797181;5362
8967;8260;Level 3;Buildings;381.089176480457;5360
8587;8345;Level 3;Buildings;381.089176480457;5357
6225;8192;Level 3;Buildings;55.7951501520734;5364
6223;8247;Level 3;Buildings;55.7951501520734;5361
9483;7936;Level 3;Buildings;583.485951656218;5374
4852;8497;Level 3;Buildings;102.884452865064;5351
3259;9979;Level 3;Buildings;59.2849582310022;5274
3386;10301;Level 3;Buildings;204.134256270447;5235
3376;9966;Level 3;Buildings;88.38038945235;5275
