inner_x;inner_y;level_name;class_name;Distance to Buildings (Pxl);"ID_Build"  Buildings
5114;2886;Level 3;Buildings;653.741357117481;4590
6766;4245;Level 3;Buildings;154.792494980953;4519
4023;6823;Level 3;Buildings;209.193997391261;4445
6046;3188;Level 3;Buildings;205.058201247906;4575
5928;4280;Level 3;Buildings;652.090301791092;4518
1638;6359;Level 3;Buildings;2338.96802079699;4458
5795;6708;Level 3;Buildings;793.145898496111;4452
2191;3169;Level 3;Buildings;326.939873429779;4577
6741;3620;Level 3;Buildings;212.054815396585;4553
2891;4197;Level 3;Buildings;469.31140819673;4522
6608;4283;Level 3;Buildings;154.792494980953;4517
6632;4730;Level 3;Buildings;425.888102598949;4500
5369;4903;Level 3;Buildings;424.191284036337;4490
6046;2970;Level 3;Buildings;205.058201247906;4584
4953;3516;Level 3;Buildings;322.800816132264;4560
5294;3664;Level 3;Buildings;188.593305845086;4547
2747;2724;Level 3;Buildings;120.313748112423;4603
2692;2793;Level 3;Buildings;120.313748112423;4599
3061;2911;Level 3;Buildings;379.15116383358;4586
2483;3020;Level 3;Buildings;274.636493550497;4582
2819;3252;Level 3;Buildings;406.501321671111;4570
5086;3815;Level 3;Buildings;289.512169297737;4535
5417;3819;Level 3;Buildings;188.593305845086;4534
4101;7399;Level 3;Buildings;430.895468993956;4413
6308;3548;Level 3;Buildings;167.940276862591;4557
6436;3645;Level 3;Buildings;118.232595532904;4551
6549;3657;Level 3;Buildings;118.232595532904;4549
6565;3937;Level 3;Buildings;261.324331882232;4530
4941;4919;Level 3;Buildings;424.191284036337;4489
6813;4405;Level 3;Buildings;184.247728272983;4513
3117;4583;Level 3;Buildings;469.31140819673;4509
6258;6098;Level 3;Buildings;793.145898496111;4459
4180;6960;Level 3;Buildings;209.193997391261;4438
4854;7818;Level 3;Buildings;867.747781538078;4397
